ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002071220-25-000001	101	Tella Leonis a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-03
0002071070-25-000001	101	OA I a Series of Fourth Realm Investments LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071074-25-000001	101	Friends of Refundly a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071071-25-000001	101	Nomi Capital AI Fund VI a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071073-25-000001	101	GSBackers Gecko Robotics Fund I a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071076-25-000001	101	Finnegan SPV I a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071080-25-000001	101	APL Ventures SAI-II a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071072-25-000001	101	GSBackers Superpower Fund II a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071079-25-000001	101	EGV Opportunities VII Apr 2025 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0002071067-25-000001	101	Saildrone 2025 a Series of What If Ventures Master LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0000902664-25-002616	101	Ronit Global Opportunities Fund LP	/s/ Nick Gaze	Nick Gaze	Director of the General Partner	2025-06-03
0002071075-25-000001	101	Friction Ventures Apex SPV 2025 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2025-06-02
0000902664-25-002615	101	Spinecap Feeder Fund SCA SICAV-RAIF	/s/ Nicolas Ducarre	Nicolas Ducarre	Director of the General Partner	2025-06-03
0000902664-25-002614	101	Lancaster Brands & Retail Equity Fund Ltd	/s/ Jordan Irving	Jordan Irving	Director	2025-06-03
0002026195-25-000003	101	Dream Peak Capital Onshore Fund	JIMENG DU	JIMENG DU	COO OF THE INVESTMENT MANAGER	2025-06-02
0002043258-25-000001	101	PU-1023 Fund I, a series of Hustle Fund Angel Squad, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-06-02
0002069724-25-000001	101	Synesthesia Film LLC	Aiden Glikmann	Aiden Glikmann	Manager	2025-06-02
0001893302-25-000003	101	DoubleLine Shiller Enhanced CAPE Portfolio	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0002070524-25-000002	101	Equitybee 22-77162, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2025-06-02
0002071044-25-000003	101	Type One Artemis LLC	Abdo John Hajj	Abdo John Hajj	Manager	2025-06-02
0002070524-25-000003	101	Equitybee 22-15791, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2025-06-02
0002059435-25-000003	101	Reinforced Ventures Subscription Fund, LP - D3	/s/ Abraham Wilson	Abraham Wilson	Authorized Person of the Agent of Issuer's GP	2025-06-02
0002071121-25-000001	101	TO-0422 Fund I, a series of BBGV SPV, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-06-02
0002070943-25-000001	101	UgenticAI, Inc.	Richard Ruggiero	Richard Ruggiero	CFO	2025-06-02
0001886971-25-000002	101	Xponance Diverse Opportunities Fund, LP	/s/ Tina Byles Williams	Tina Byles Williams	Chairman of the Board of Xponance Advisors LLC, GP of Issuer	2025-06-02
0001919992-25-000003	101	QUAKE 5G SEED FUND I, L.P.	/s/ Jason Fernandez	Jason Fernandez	Manager of the General Partner	2025-06-02
0002071044-25-000005	101	T1V OAI LLC	Abdo John Hajj	Abdo John Hajj	Manager	2025-06-02
0002071044-25-000004	101	Type One OAI 1 LLC	Abdo John Hajj	Abdo John Hajj	Manager	2025-05-28
0002066855-25-000002	101	Invictus Capital LLLP	Alec Atkinson	Alec Atkinson	GP	2025-06-02
0002070660-25-000001	101	Quake High Confidence Fund Alpha III, L.P.	/s/ Jason Fernandez	Jason Fernandez	Manager of General Partner	2025-06-02
0002042362-25-000001	101	Eastern Light Distilling LLC	/s/ Cordell Lawrence	Cordell Lawrence	Chief Executive Officer	2025-05-30
0001848584-25-000002	101	Fortress Wildfire Insurance Group, LLC	Michael Ashker	Michael Ashker	Executive Chairman	2025-06-02
0001812269-25-000003	101	Woodbine Mill 2020 Core Bond Fund I	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0001812270-25-000003	101	Woodbine Mill 2020 Core Bond Fund II	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0002071147-25-000001	101	Lagena Inc.	Daniel Borders	Daniel Borders	President	2025-06-02
0002057187-25-000002	101	Forge Resources Corp.	"""Cole McClay"""	Cole McClay	COO & Director	2025-05-30
0002070689-25-000001	101	Dream Venture X, Inc.	Shariah Mae Olomua	Shariah Mae Olomua	POA of CEO Sam Thomassen	2025-06-02
0002010642-25-000002	101	Paramount Group Real Estate Special Situations Fund II, LP	Timothy C. Dembo	Timothy C. Dembo	See explanation box in item 3	2025-06-02
0002026192-25-000003	101	Dream Peak Capital Offshore Fund	JIMENG DU	JIMENG DU	COO OF THE INVESTMENT MANAGER	2025-06-02
0002069435-25-000001	101	Alfredo Andere, LP - I	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-06-02
0001894187-25-000002	101	Champion MSU Properties, LLC	Parker J. Champion	Parker J. Champion	Chief Operating Officer	2025-06-02
0002070524-25-000004	101	Equitybee 22-15791, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2025-06-02
0001893302-25-000004	101	DoubleLine Securitized Income Portfolio a series of DoubleLine Investments Fund LLC	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0002071044-25-000002	101	T1V Metis LLC	Abdo John Hajj	Abdo John Hajj	Manager	2025-06-02
0002070260-25-000001	101	FAC Lake Tower, LLC	Brian F. Betts	Brian F. Betts	Managing Partner	2025-06-02
0002070899-25-000002	101	AZETHIO CRYPTO GROUP LTD	YAN TAO	YAN TAO	CEO	2025-06-02
0002071044-25-000001	101	AG T1V LLC	Abdo John Hajj	Abdo John Hajj	Manager	2025-06-02
0002070524-25-000001	101	Equitybee 22-33572, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2025-06-02
0000919574-25-003472	101	AgentSmyth Inc.	/s/ Daniel McCooey	Daniel McCooey	President	2025-06-02
0002008663-25-000001	101	Conductor Capital, LP	/s/ Dhruv Patel	Dhruv Patel	Manager of the General Partner of the Issuer	2025-06-02
0002071098-25-000002	101	Parlay Protocol Inc.	ALEXANDRA MCLEOD	ALEXANDRA MCLEOD	CHIEF EXECUTIVE OFFICER	2025-06-02
0002069734-25-000001	101	MP Select Sports Opportunity Fund LP	/s/ Scott Army	Scott Army	Partner, Head of Alternatives	2025-06-02
0000905148-25-001971	101	Voleon Investors Fund LP	Julie Dixon	Julie Dixon	Chief Compliance Officer of the Investment Adviser	2025-06-02
0001884640-25-000001	101	SANTIAGO COLUMBIA VILLAGE LLC	Aimee Molsberry	Aimee Molsberry	President of Manager	2025-06-02
0002071098-25-000001	101	Parlay Protocol Inc.	ALEXANDRA MCLEOD	ALEXANDRA MCLEOD	CHIEF EXECUTIVE OFFICER	2025-06-02
0001845351-25-000002	101	Capriole Fund LP	/s/ Alastair Loxton	Alastair Loxton	Director	2025-06-02
0001742473-25-000002	101	Prime Meridian Special Opportunities Fund, LP	Donald D. Davis	Donald D. Davis	Manager of Prime Meridian Capital Management, LLC	2025-06-02
0001712440-25-000003	101	DoubleLine Core Plus Portfolio a series of DoubleLine Investments Fund LLC	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0000905148-25-001970	101	VOLEON INSTITUTIONAL STRATEGIES FUND LP	Julie Dixon	Julie Dixon	Chief Compliance Officer of the Investment Adviser	2025-06-02
0001899779-25-000003	101	Battle Financial, Inc.	Francis O. Trotter, III	Francis O. Trotter, III	President and Chief Executive Officer	2025-06-02
0002028491-25-000003	101	RCP Fund XIX Cayman Feeder, LP	\s\Charles K. Huebner	Charles K. Huebner	Manager of RCP Advisors XIX, LLC the GP of the Issuer	2025-06-02
0002028491-25-000002	101	RCP Fund XIX, LP	\s\Charles K. Huebner	Charles K. Huebner	Manager of RCP Advisors XIX, LLC the GP of the Issuer	2025-06-02
0002069195-25-000001	101	LCP Drive Buick LLC	Christina Marie Schaefer	Christina Marie Schaefer	Manager of LCP Drive Buick Manager LLC	2025-06-02
0000905148-25-001969	101	Voleon Composition International Fund, Ltd.	Julie Dixon	Julie Dixon	Chief Compliance Officer of the Investment Adviser	2025-06-02
0002061489-25-000001	101	EquityZen Growth Technology Fund LLC - Series 2098	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2025-06-02
0002061358-25-000001	102	Accolade Blockchain Access Fund II Feeder, L.P.	ATUL RUSTGI	ATUL RUSTGI	MANAGING MEMBER OF THE GENERAL PARTNER	2025-06-02
0002061358-25-000001	101	Accolade Blockchain Access Fund II, L.P.	ATUL RUSTGI	ATUL RUSTGI	MANAGING MEMBER OF THE GENERAL PARTNER	2025-06-02
0001528124-25-000004	101	Healthplan Data Solutions, Inc.	Ron Hamm	Ron Hamm	Chief Executive Officer	2025-06-02
0001649415-25-000004	101	Mercer Diocese of Brooklyn Risk Reduction Strategy	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0000905148-25-001968	101	Voleon Composition Domestic Fund, LP	Julie Dixon	Julie Dixon	Chief Compliance Officer of the Investment Adviser	2025-06-02
0002071198-25-000001	101	Factory Cleaning Equipment, LLC	Richard J. Schott	Richard J. Schott	Manager of Issuer	2025-06-02
0002026663-25-000001	101	PDX OZ FUND LLC	Richard Takach, Jr.	Richard Takach, Jr	Manager	2025-06-02
0001123292-25-000262	101	WPI Emporia III Coinvestment IG Fund LP	/s/ Marc Robert	Marc Robert	Member of the general partner of the Issuer	2025-06-02
0000905148-25-001967	101	Torus Composition Fund LP	Julie Dixon	Julie Dixon	Chief Compliance Officer of the Investment Adviser	2025-06-02
0002071029-25-000001	101	Em & Audrey Enterprises Inc.	/s/ Emily Williams	Emily Williams	Chief Executive Officer	2025-06-02
0002024699-25-000004	101	Lumber Manufactory Inc.	/s/Michael Grasso IV	Michael Grasso IV	President and Chief Executive Officer	2025-06-02
0001772435-25-000003	101	Betaliq Inc	Barry Butler	Barry Butler	President	2025-06-02
0001543256-25-000002	101	Immunomic Therapeutics, Inc.	Erin Duffy	Erin Duffy	Director, Finance	2025-06-02
0002048729-25-000005	101	BlackRock Global CRE Debt Fund - C8 LP	/s/ Robert Weiss	Robert Weiss	Secretary	2025-06-02
0001742876-25-000002	101	Qiviut Capital Funds LP	/s/ Jonathan Goodman	Jonathan Goodman	Managing Member of General Partner	2025-06-02
0001649415-25-000003	101	Mercer Diocese of Brooklyn Growth Strategy	/John McAree/	John McAree	Senior Vice President of Issuer's Manager	2025-06-02
0002022233-25-000001	101	TheWordlab, Co.	/s/ Alvaro Martinez Higes	Alvaro Martinez Higes	Chief Executive Officer	2025-06-02
0001813513-25-000002	101	Atlas Institutional Equity Fund, L.P.	/s/ Scott Schroeder	SCOTT SCHROEDER	AUTHORIZED SIGNATORY	2025-06-02
0001079973-25-000964	101	Barrel RM, Inc.	/s/ Allan Evans	Allan Evans	Chief Executive Officer	2025-06-02
0000950138-25-000011	101	Pactum AI, Inc.	/s/ Reili Suzi	Reili Suzi	General Counsel	2025-06-02
0002027427-25-000003	101	Defiance Capital Fund, LLC	Mark William Spidell	Mark William Spidell	Fund Manager	2025-06-02
0001479577-25-000009	101	HIG Holdings, LLC	/s/ Charles Collins Florsheim	Charles Collins Florsheim	General Counsel	2025-06-02
0001807547-25-000001	101	Poincare Dynamic Limited Partnership	Ivan Gjaja	Ivan Gjaja	Managing Member GP	2025-06-02
0001866367-25-000001	101	Kerve Capital Offshore Feeder Fund	Jeremy Kerbel	Jeremy Kerbel	Director of Kerve Capital Offshore Feeder Fund	2025-06-02
0001814554-25-000031	101	Steele Creek Capital Corp	/s/ Marie Bober	Marie Bober	Chief Compliance Officer	2025-06-02
0002046734-25-000001	101	Corner Israel Support Fund I, LP	DAVID KATZ	DAVID KATZ	CORPORATE SECRETARY AND GENERAL COUNSEL	2025-06-02
0002025413-25-000001	101	Empire Village at Hyde Park, LLC	Randy Grudzinski	Randy Grudzinski	Administrative Manager	2025-05-30
0002056481-25-000002	101	Axcelus Financial Life Insurance Co Separate Account VA 403	/s/ Paul Ryan Henry	Paul Ryan Henry	SVP & Deputy General Counsel	2025-06-02
0000905148-25-001964	101	D1 Private Investors, LLC	David Lepinsky	David Lepinsky	Vice President of the Administrator of the Issuer	2025-06-02
0002066356-25-000003	101	Great Northern Salmon, Inc.	/s/ Marianne Naess	Marianne Naess	CEO	2025-06-02
0002070813-25-000001	101	Goodfire AI, Inc.	/s/ Eric Ho	Eric Ho	Chief Executive Officer	2025-06-02
0002069699-25-000012	101	Infinity Select Fund IV, LLC	Jeff Vale	Jeff Vale	Manager	2025-06-02
0002069699-25-000011	101	Infinity Special Situations Fund III, LLC	Jeff Vale	Jeff Vale	Manager	2025-06-02
0002069699-25-000010	101	Infinity Special Situations Fund I, L.P.	Jeff Vale	Jeff Vale	Managing Member	2025-06-02
0002066699-25-000001	101	Centrus Diagnostics, Inc.	Michael Burnam	Michael Burnam	CEO	2025-06-02
0002071106-25-000001	101	Vermilion Two LLC	/s/ Stephen Bittence	Stephen Bittence	Corporate Secretary	2025-06-02
0002069699-25-000009	101	Athos II LLC	Jeff Vale	Jeff Vale	Manager	2025-06-02
0001823856-25-000002	101	Alli Connect, Inc.	Colleen Hilton	Colleen Hilton	Chief Executive Officer	2025-06-02
0001735726-25-000005	101	OncoNano Medicine, Inc.	Matthew Head	Matthew Head	Chief Financial Officer	2025-06-02
0001813341-25-000003	101	Global Energy Transmission, Co.	/s/ Leonid Plekhanov	Leonid Plekhanov	Chief Executive Officer	2025-06-02
0001392067-25-000002	101	ITB PREMIUM FUND II LTD	Gerald Black	Gerald Black	Manager of General Partner, ITB Capital Management, LLC	2025-06-02
0002070693-25-000001	101	Merchant Co-Invest AIV L.P.	Peter Gibbs	Peter Gibbs	Manager of the Issuer's General Partner	2025-06-02
0001012975-25-000293	101	ASP (Feeder) Co-Investment Fund VI B LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0002066392-25-000001	101	Sealevel Value-Add Growth Fund I LLC	John R. Shaw	John R. Shaw	Manager	2025-06-02
0001012975-25-000292	101	Adams Street (HNW Onshore) Co-Investment Fund VI A LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0001896514-25-000002	101	Filmhub, Inc.	/s/ Alan d'Escragnolle	Alan d'Escragnolle	Chief Executive Officer	2025-06-02
0001854866-25-000002	101	Reporting Xpress, Inc.	/s/ joel weinbach	Joel Weinbach	President	2025-06-02
0002026350-25-000001	101	GW CAPITAL FUND 1 LLC	Parameshwari Baladandapani	Parameshwari Baladandapani	Principal	2025-06-02
0002068285-25-000001	101	Advanced Technology Select Fund XIX, LLC Series K	Kevin Chen	Kevin Chen	Managing Mbr, JJFT Management, Its Manager	2025-06-02
0001012975-25-000291	101	Adams Street (HNW Offshore) Co-Investment Fund VI B LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0001709496-25-000005	101	CONSUMER METRICS LP	Rodger S. Smith	Rodger S. Smith	Chief Executive Officer of the General Partner	2025-06-02
0001709496-25-000004	101	MERIDIAN CAPITAL LP	Rodger S. Smith	Rodger S. Smith	Chief Executive Officer of the General Partner of the Issuer	2025-06-02
0001012975-25-000290	101	Adams Street Co-Investment Fund VI A LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0001709496-25-000003	101	SECTOR CAPITAL LTD PARTNERSHIP/MA	Rodger S. Smith	Rodger S. Smith	Chief Executive Officer of the General Partner of the Issuer	2025-06-02
0001941040-25-000325	101	D3 Family Fund, LP	Hannelore NMN Bauer-Kuehl	Hannelore NMN Bauer-Kuehl	Chief Compliance Officer of the General Partner of Issuer	2025-06-02
0002069582-25-000005	101	Barchee Holdings, LLC	Jason M. Temple	Jason M. Temple	Attorney-in-Fact for Barchee Holdings, LLC	2025-06-02
0002026184-25-000002	101	Kawa RE Offshore Fund II, LP	/s/ Jeremy M. Traster	Jeremy M. Traster	General Counsel and Chief Compliance Officer	2025-06-02
0002048729-25-000004	101	Vintage Credit Opportunity Partners LP	/s Jody Flaws	Jody Flaws	Manager of the General Partner of the Issuer	2025-05-30
0002048729-25-000003	101	Vintage Credit Opportunity Partners Offshore SCSp	/s/ Julie Harnett	Julie Harnett	Manager of the General Partner of the Issuer	2025-05-30
0001941040-25-000324	101	D3 Family Bulldog Fund, LP	Hannelore NMN Bauer-Kuehl	Hannelore NMN Bauer-Kuehl	Chief Compliance Officer of the General Partner of Issuer	2025-06-02
0001718806-25-000002	101	Schroeder Capital Investments LP	/s/ Herman Schroeder	Herman Schroeder	Manager of General Partner, Schroeder Capital LLC	2025-06-02
0002048729-25-000002	101	Vintage Credit Opportunity Partners Employee Offshore LP	/s/ Brittany Shelby	Brittany Shelby	VP of the Manager of the Issuer's General Partner	2025-05-16
0002048729-25-000001	101	Vintage Credit Opportunity Partners Employee LP	/s/ Brittany Shelby	Brittany Shelby	VP of the Manager of the Issuer's General Partner	2025-05-16
0001553997-25-000016	101	FOXO TECHNOLOGIES INC.	/s/ Sebastien Sainsbury	Sebastien Sainsbury	Secretary	2025-06-02
0002025522-25-000002	101	Kawa RE Master Fund II, LLC	/s/ Jeremy M. Traster	Jeremy M. Traster	General Counsel and Chief Compliance Officer	2025-06-02
0001941040-25-000323	101	Benedict Value Fund, L.P.	Hannelore NMN Bauer-Kuehl	Hannelore NMN Bauer-Kuehl	Chief Compliance Officer of the General Partner of Issuer	2025-06-02
0002070360-25-000001	101	Etium Fund I, LP	Jack Foster	Jack Foster	Manager of the General Partner of the Issuer	2025-06-02
0002061023-25-000002	101	Unity Select Fund, LLC - Arctos American Football Series	Timothy Dwyer	Timothy Dwyer	Corporate Secretary and VP of PNC Alternatives Solutions, LL	2025-06-02
0001096906-25-000911	101	Encore Capital Partners LLC	/s/ Donald Pollard	Donald Pollard	Fund Manager	2025-06-02
0002056446-25-000002	101	COVEMARK CABINS, LLC	Merrill Kaliser	Merrill Kaliser	Attorney in Fact	2025-06-02
0000898432-25-000418	101	Datawizz Inc.	/s/ Iddo Gino	Iddo Gino	Chief Executive Officer and President	2025-06-02
0001062993-25-010619	101	FORAN MINING CORP	/s/ Etienne Ravilet-Guzman	Etienne Ravilet-Guzman	Vice President Legal	2025-06-02
0001884562-25-000004	101	FINISTERRE HEDGE FUND, L.P.	Luis J Alayo-Riera	Luis J. Alayo-Riera	Manager	2025-06-02
0001012975-25-000289	101	Adams Street Co-Investment Fund VI B LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0002070930-25-000001	101	Bombellii Ventures Fund I, LP	/s/ Samir Karoum	Samir Karoum	Managing Member of the General Partner of the Issuer	2025-06-02
0002071015-25-000001	101	Series C, a series of UM AI & Frontier Technology Fund LLC	Robert Daniels	Robert Daniels	CCO	2025-06-02
0000945621-25-000530	101	Classic HudCo II, L.P., on behalf of its Series 1 - LSF XII	/s/ Sarah E. York	Sarah E. York	President of the General Partner	2025-06-02
0000945621-25-000529	101	Classic HudCo II-B, L.P., on behalf of its Series 1 - LSREF VII	/s/ Sarah E. York	Sarah E. York	President of the General Partner	2025-06-02
0001777205-25-000002	101	EQMC Europe Development Capital Fund	/s/ Jacobo Llanza	Jacobo Llanza	Director	2025-06-02
0002069369-25-000001	101	Alta Music Group, Inc.	/s/Jeremy Erlich	Jeremy Erlich	President	2025-06-02
0001012975-25-000288	101	Adams Street Growth Equity Fund VIII LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0001214659-25-008623	101	SYNERGYINVEST INC	/s/ Gnambi Kadjo	Gnambi Kadjo	President/CEO	2025-05-21
0002063063-25-000006	101	Conquer Capital Fund	Thomas A. Konkowski	Thomas A. Konkowski	Chief Operating Officer	2025-06-02
0002070646-25-000001	101	Kifcure, LLC	Jarett Burke	Jarett Burke	CEO	2025-06-02
0001012975-25-000287	101	ASP Partners Growth Equity VIII LP	/s/ Eric R. Mansell	Eric R. Mansell	Executive Vice President	2025-06-02
0002070738-25-000001	101	HiGro Renaissance Capital Partners, LLC	/s/ Subbarao Vikram Rao	Subbarao Vikram Rao	Manager of the Manager of the Issuer	2025-06-02
0002009049-25-000003	101	TrueFan Travel, LLC	Vincent Rizutto	Vincent Rizzuto	President and CEO	2025-06-02
0000950142-25-001545	101	Avenue Asia Special Situations Fund VII, L.P.	/s/ Sonia Gardner	Sonia Gardner	Member of the Managing Member of the GP of the Issuer	2025-06-02
0000905148-25-001961	101	Mirae Asset Gaia Fund I, LP	Joon Hyuk Heo	Joon Hyuk Heo	Co-Chief Executive Officer of the Investment Manager	2025-06-02
0002070108-25-000001	101	Partners Group Pacific Northwest, L.P.	Annalie Stuffins	Annalie Stuffins	Lead Compliance Officer	2025-06-02
0001315863-25-000422	101	Western Alternative Strategies, L.P. - Income Series	/s/ Chris Pate	Chris Pate	President of the General Partner	2025-06-02
0002020405-25-000001	101	BBH Capital Partners VII-3, L.P	/s/ Michael A. Boylan	Michael A. Boylan	Principal of the General Partner of the Issuer	2025-06-02
0001013594-25-000704	101	J.H. Lane Partners Offshore Fund, Ltd.	/s/ Seth Lax	Seth Lax	Director	2025-06-02
0001013594-25-000703	101	J.H. Lane Partners Fund, LP	/s/ Seth Lax	Seth Lax	Managing Member of the General Partner	2025-06-02
0002065703-25-000001	101	Banner Ridge Secondary Fund VI Co, LP	Scott Halper	Scott Halper	Chief Compliance Officer/Partner	2025-06-02
0002070807-25-000001	101	AI Research Commons ARC1 a series of Seamless Alts Platform LLC	Lawson Stringer	Lawson Stringer	Manager	2025-06-02
0001862016-25-000002	101	Chicago Atlantic Credit Opportunities, LLC	Martin Rodgers	Martin Rodgers	Managing Director	2025-06-02
0002001969-25-000001	101	BBH Capital Partners VII-2, L.P.	/s/ Michael A. Boylan	Michael A. Boylan	Principal of the General Partner of the Issuer	2025-06-02
0002001994-25-000001	101	BBH Capital Partners VII-1, L.P.	/s/ Michael A. Boylan	Michael A. Boylan	Principal of the Manager of the General Partner of the Issue	2025-06-02
0001862018-25-000003	101	Chicago Atlantic Fund (Offshore), L.P.	Martin Rodgers	Martin Rodgers	Managing Director	2025-06-02
0001437749-25-019096	101	Spoker Legacy Group, LLC	/s/ Anthony L. Tolliver	Anthony L. Tolliver	President	2025-06-02
0001013594-25-000702	101	Anaxagoras LP	/s/ Dong Han	Dong Han	Managing Member of the General Partner	2025-06-02
0002001995-25-000001	101	BBH Capital Partners VII, L.P	/s/ Michael A. Boylan	Michael A. Boylan	Principal of the Manager of the Gen. Partner of the Issuer	2025-06-02
0001136915-25-000002	101	BBH Capital Partners VII-A, L.P.	/s/ Michael A. Boylan	Michael A. Boylan	Principal of the Manager of the General Partner of the Issue	2025-06-02
0002053486-25-000001	101	DR-1115 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-06-02
0002071118-25-000001	101	CREI Multifamily 11246 Owner, LP	Wayne Courreges III	Wayne Courreges III	Manager of General Partner	2025-06-02
0002070581-25-000001	101	AEROSPACE GROWTH INVESTMENTS II LLC	/S/ KNUT NICOLAI SAND	KNUT NICOLAI SAND	CEO OF THE MANAGER OF THE ISSUER	2025-06-02
0002070651-25-000001	101	Bain Capital Structured Credit Feeder, L.P.	/s/ Christopher Green	Christopher Green	Authorized Signatory	2025-05-31
0002050839-25-000001	101	GRANITE HYBRID FUND 2 LLC	Merrill Kaliser	Merrill Kaliser	Attorney in Fact	2025-06-02
0002021729-25-000001	101	Ares Strategic Income Fund iCapital Offshore Access Fund SPC	CAMPBELL CONGDON	CAMPBELL CONGDON	DIRECTOR	2025-06-01
0002039128-25-000008	101	Peachtree Credit Fund IV, LP	/s/ Kevin M. Cadin	Kevin M. Cadin	General Counsel	2025-05-29
0002063959-25-000001	101	Gaingels Cartography 2025 LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2025-06-02
0001930202-25-000002	101	NAUTILUS FEEDER, L.P.	TODD GROOME	TODD GROOME	DIRECTOR OF ISSUER'S GENERAL PARTNER	2025-06-02
0002070955-25-000001	101	CRE Capital P007, LLC	Abhi Acharya	Abhi Acharya	Manager, CRE Capital Asset Management	2025-06-02
0001566114-25-000041	101	VVP All Cap Fund, LLC	/s/ Joshua Jones	Joshua Jones	Chief Compliance Officer of Manager	2025-06-02
0001778632-25-000002	101	Alliance Capital Investors LLC	Tyler Creach	Tyler Creach	CFO of Issuer	2025-06-02
0001470831-25-000029	101	Rythm Health, Inc.	/s/ Robert Wade	Robert Wade	Chief Executive Officer	2025-06-02
0001774802-25-000004	101	Mink Brook Partners LP	William Christopher Mueller	William Christopher Mueller	Managing Member of the GP	2025-06-02
0001557645-25-000003	101	NHIT: Core Plus Fixed Income Trust	Shannon O. Mangano	Shannon O. Mangano	Authorized Signer	2025-05-30
0002055945-25-000002	101	MDHI Carrollton LLC	John A. White	John A. White	Manager of Matador Investments V LLC, its Manager	2025-06-02
0002069380-25-000001	101	Seneca-LO-0319 Fund II, a series of AngelList Funds 2025, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-06-02
0002069806-25-000001	101	MPGC III SK Co-Investment, L.P.	R. SEAN HONEY	R. SEAN HONEY	MANAGING MEMBER OF THE GENERAL PARTNER	2025-06-02
0001685026-25-000003	101	NHIT: Core Disciplined Alpha Trust	Shanno O. Mangano	Shanno O. Mangano	Authorized Signer	2025-05-30
0001780059-25-000001	101	Kachuwa Investment Cooperative PBC	Blake Jones	Blake Jones	President	2025-06-02
0000950172-25-000112	101	Intelerad Holdings ULC	/s/ Jean-Baptiste Brian	Jean-Baptiste Brian	Director	2025-06-02
0001542447-25-000064	101	RREEF Property Trust, Inc.	Eric Russell	Eric Russell	Chief Financial Officer & Vice President	2025-06-02
0002045866-25-000003	101	Pemberton Strategic Credit Fund IV SCSp SICAV-RAIF - Pemberton Strategic Credit Fund IV (B)	Douglass Welch	Douglass Welch	Director	2025-06-02
0002070907-25-000001	101	Vyntor Global Group Ltd	ZHENGJIE LI	ZHENGJIE LI	Director	2025-06-02
0002070898-25-000001	101	SoccerTraining GPT UG	Jens Luke	Jens Luke	Managing Director	2025-06-02
0002023900-25-000004	101	Baker Tilly US, LLP	Theresa Meiners	Theresa Meiners	General Counsel and Secretary	2025-06-02
0002070640-25-000002	101	Virchow, Krause & Company, LLP	/s/ Theresa Meiners	Theresa Meiners	General Counsel and Secretary	2025-06-02
