ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002084679-25-000001	101	AR-0718 Fund I, a series of Hikari Ventures I, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002085029-25-000001	101	PE-0828 Fund I, a series of Zachary Ginsburg Funds, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002074041-25-000001	101	CO-0610 Fund I, a series of DVC, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084664-25-000001	101	FR-0820 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084973-25-000001	101	BO-0717 Fund I, a series of Exitfund Venture, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084663-25-000001	101	RH-0820 Fund II, a series of MV Funds, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084413-25-000001	101	MA-0822 Fund I, a series of Riverside Ventures, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084897-25-000001	101	PU-0219 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002084875-25-000001	101	PO-0716 Fund I, a series of Valor Venture Fund Syndicates, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-09
0002055851-25-000003	102	ChrysCapital X Holdings, LLC	/s/ Haleemah Bulladin	Haleemah Bulladin	Director of ChrysCapital X Holdings, LLC	2025-09-09
0002055851-25-000003	101	ChrysCapital X, LLC	/s/ Haleemah Bulladin	Haleemah Bulladin	Director of ChrysCapital X, LLC	2025-09-09
0001786908-25-000001	101	Winton Access Fund 2 Ltd	Alan Tooker	Alan Tooker	Director of the Issuer	2025-09-09
0000902664-25-004013	101	Redwheel Frontier Markets Equity Fund LP	/s/ Paul de Quant	Paul de Quant	Director of the General Partner	2025-09-09
0001641172-25-026915	101	Cerberus Multi Listing Exit Fund, L.P.	/s/ Seth Plattus	Seth Plattus	Authorized Signatory of the General Partner	2025-09-09
0002062648-25-000002	101	MCN GLOBAL LTD.	YANGLE SHI	YANGLE SHI	CEO	2025-09-08
0002064012-25-000002	101	CryptoAlgo Ltd	CHARLES ANDREW SMEDLEY	CHARLES ANDREW SMEDLEY	CEO	2025-09-08
0002034169-25-000003	101	Lumo, Inc.	/s/ Devon Wright	Devon Wright	Chief Executive Officer	2025-09-08
0001837748-25-000001	101	Bitcoin Investment Group, LP	Eric Weiss	Eric Weiss	Managing Member	2025-09-08
0002084639-25-000001	101	HI-0808 Fund I, a series of Socially Financed, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-08
0002084560-25-000001	101	IC BHA LLC	David Utley	David Utley	Attorney In Fact	2025-09-08
0002084348-25-000001	101	TSG Ventures XXVII, LLC	/s/Chad Cardenas	Chad Cardenas	CEO of The Syndicate Group, Inc., Manager of the Issuer	2025-09-08
0001778940-25-000004	101	Norsemont Mining Inc.	/s/ Charles Ross	Charles Ross	Director	2025-09-08
0002084667-25-000001	101	BL-0603 Fund I, a series of BBGV SPV, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-08
0002081445-25-000001	101	HPA 2025 SAI INVESTMENT, LLC	/s/ Peter Wilkins	Peter Wilkins	Manager of the Manager of the Issuer	2025-09-08
0002085031-25-000001	101	Home Love Series Fund LLC - Series 4	Josh Stech	Josh Stech	Manager	2025-09-08
0002048159-25-000002	101	Bond Street Investment Trust, Inc.	Michael D. Reynolds	Michael D. Reynolds	Chief Executive Officer	2025-09-08
0002084527-25-000002	101	Rauch Capital Burst CLXIX, a series of Rauch Capital Burst, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Person of the Agent of the Issuer's GP	2025-09-08
0002082425-25-000002	101	LI Rollup II, a series of DRH Rollups, LP	/s/ Daniel Hightower	Daniel Hightower	Manager of the Issuer	2025-09-08
0001943723-25-000003	101	BP Funding Trust, Series SPL-IV	Jay Gracin	Jay Gracin	General Counsel	2025-09-08
0001682558-25-000010	101	Alexander Capital Ventures LLC	Jonathan Gazdak	Jonathan Gazdak	Manager	2025-09-04
0002075734-25-000001	101	Green Light Pet Hospital Arlington LLC	Fabrizio Spinelli	Fabrizio Spinelli	Manager	2025-09-01
0001727689-25-000072	101	Dryden Gold Corp.	/s/ Scott Kelly	Scott Kelly	CFO and Corporate Secretary	2025-09-03
0002080392-25-000001	101	California Naturals, Inc.	/s/ Shelby R. WIld	Shelby R. Wild by her attorney, Carolyn S. Dance, by Power of Attorney	CEO	2025-09-05
0001798363-25-000003	101	ScrappyCito, LLC	Thomas P. O'Hara	Thomas P O'Hara	Founder	2025-09-08
0001470831-25-000169	101	DBDK Venture Fund II, L.P.	/s/ Meredith McPherron	Meredith McPherron	Managing Member of the GP of the Issuer	2025-09-08
0002082870-25-000001	101	PRIVATE AEROSPACE INVESTMENTS II LLC	/S/ KNUT NICOLAI SAND	KNUT NICOLAI SAND	CEO OF THE MANAGER OF THE ISSUER	2025-09-08
0002085165-25-000001	101	Atolio, Inc.	/s/ David Lanstein	David Lanstein	Chief Executive Officer	2025-09-08
0001682558-25-000009	101	Alexander Capital Ventures LLC	Jonathan Gazdak	Jonathan Gazdak	Manager	2025-09-04
0002085131-25-000001	101	Hines Diehl Road Multifamily LLC	LeRonica Hill	LeRonica Hill	Chief Compliance Officer	2025-09-08
0002065859-25-000006	101	GMI-Granbury 106, LP	William P. Glass	William P. Glass	manager of general partner of filer	2025-09-08
0002084856-25-000001	101	Compound Gold Bonds Corp	Inderjit Tuli	Inderjit Tuli	President	2025-09-08
0002078280-25-000001	101	VFF V Co-Invest 3-A, L.P.	Robert F. Smith	Robert F. Smith	Managing Member of Senior Managing Mbr of GP of GP of Issuer	2025-09-08
0000911420-25-000276	101	WATERLAKE FUND, LP	/s/ Frank Roessler	Frank Roessler	Principal	2025-09-08
0002085101-25-000002	101	PG Austin Investors, LLC	/s/ Kevin M. Cadin	Kevin M. Cadin	General Counsel	2025-09-08
0000911420-25-000274	101	HALSTON NORTHLAKE INVESTORS, LP	/s/ Frank Roessler	Frank Roessler	Principal	2025-09-08
0002077788-25-000007	101	Buffalo Chip Global Inc.	Mark Advent	Mark Advent	CEO	2025-09-08
0002033548-25-000117	101	iCapital - Blackstone Life Sciences VI Access Fund L.P.	Mallory Ross	Mallory Ross	Authorized Signatory of the General Partner	2025-09-08
0000911420-25-000272	101	Halston Five Northlake, LP	/s/ Frank Roessler	Frank Roessler	Principal	2025-09-08
0001137638-25-000010	101	DeFi Development Corp.	/s/ Joseph Onorati	Joseph Onorati	Chief Executive Officer	2025-09-08
0002033548-25-000116	101	Glendower Access Secondary Opportunities VI (International), L.P.	Mallory Ross	Mallory Ross	Authorized Signatory of the General Partner	2025-09-08
0002085101-25-000001	101	PG Austin Investors, LLC	/s/ Kevin M. Cadin	Kevin M. Cadin	General Counsel	2025-09-08
0002033548-25-000115	101	Glendower Access Secondary Opportunities VI (U.S.), L.P.	Mallory Ross	Mallory Ross	Authorized Signatory of the General Partner	2025-09-08
0002085073-25-000002	101	AEG Lee Pointe Holdings, LLC	Adam Gross	Adam Gross	Manager	2025-09-08
0001062993-25-015401	101	Allied Critical Metals Inc.	/s/ Sean O'Neill	Sean O'Neill	Director	2025-08-28
0002035598-25-000004	101	Wilshire Mammoth Fund Ltd	/s/ Connor Lingle	Connor Lingle	Head of Private Fund Compliance	2025-09-08
0001646540-25-000006	101	Certintell, Inc.	Benjamin Lefever	Benjamin Lefever	President	2025-09-08
0001896752-25-000006	101	Sabio Holdings Inc.	/s/ Sajid Premji	Sajid Premji	Chief Financial Officer	2025-09-08
0002084507-25-000001	101	V360 Holdings LLC Series Thielsen SPV III	Michael Stadnisky	Michael Stadnisky	Manager	2025-09-08
0001906204-25-000004	101	Cycle Labs, Inc.	Joshua Owen	Joshua Owen	President	2025-09-08
0001911790-25-000004	101	Diana Health, Inc.	/s/ Kate Condliffe	Kate Condliffe	Chief Executive Officer	2025-08-27
0002083842-25-000001	101	Halcyon Futures Investments Fund I, LP	/s/Michael McCormick	Michael McCormick	Managing Member of the General Partner of the Issuer	2025-09-08
0002073428-25-000002	101	Rolling Fun GP, LP - D3	/s/ Abraham Wilson	Abraham Wilson	Authorized Person of the Agent of Issuer's GP	2025-09-08
0002066498-25-000005	101	Verticus Solutions Inc	Garrett Steves	Garrett Steves	Managing Member	2025-09-08
0000935836-25-000591	101	Situational Awareness Partners LP	Nicholas Gross-Whitaker	Nicholas Gross-Whitaker	Chief Operating Officer of  SAF AI GP LP, General Partner	2025-09-05
0002083909-25-000001	101	Eastward Journey Ltd Liability Co	/s/ Oliver Roth	Oliver Roth	Manager of Managing Member	2025-09-08
0001957524-25-000002	101	Orca Bason Fund, LP	/s/ Vuk Vukovic	Vuk Vukovic	Manager of the General Partner, Oraclum Capital LLC	2025-09-08
0002041806-25-000476	101	Aureli Inc.	Abishek Gomes	Abishek Gomes	CEO	2025-09-08
0002082652-25-000001	101	Tasty Select III LLC	Michael Carroll	Michael Carroll	CFO	2025-09-08
0001767517-25-000004	101	YS ST NOTES LLC	/s/ Ted Yarbrough	Ted Yarbrough	President	2025-09-08
0002063407-25-000048	101	MC Co-Investment Fund I Cayman Aggregator, LP	/s/ Rodney Cannon	Rodney Cannon	Manager of the Ultimate General Partner of the Issuer	2025-09-08
0001376474-25-000794	101	Eagle VP Fund 2 Series Neuralink	/s/ Ardit Dodaj	Ardit Dodaj	Founder/Manager	2025-05-29
0002084770-25-000001	101	LORCAPT Intermediary Holdings, Inc.	James Rose, Jr.	James Rose, Jr.	Chairman and Chief Executive Officer of the Issuer	2025-09-08
0002063407-25-000047	101	MC Kyriba Co-Invest Aggregator, LP	/s/ Rodney Cannon	Rodney Cannon	Manager of the Ultimate General Partner of the Issuer	2025-09-08
0002081742-25-000001	101	RefAssured Inc.	Brian John Vesce	Brian John Vesce	Chief Executive Officer	2025-09-08
0001598391-25-000003	101	Arrow Holding Corp.	/s/ Richard Cohan	Richard Cohan	General Counsel & Secretary	2025-09-08
0002063407-25-000046	101	MC Nord Anglia Co-Invest Aggregator, LP	/s/ Rodney Cannon	Rodney Cannon	Manager of the Ultimate General Partner of the Issuer	2025-09-08
0001598391-25-000002	101	Arrow Holding Corp.	/s/ Richard Cohan	Richard Cohan	General Counsel & Secretary	2025-09-08
0002085071-25-000001	101	Tophat Security Inc.	Stephen P. Carson ,Esq.	Stephen P. Carson	Attorney by POA	2025-09-08
0002016687-25-000002	101	VIN-Holdings, LLC	Robert Goforth	Robert Goforth	Chief Executive Officer	2025-09-08
0002063407-25-000045	101	MC Co-Investment Parallel I, LP	/s/ Rodney Cannon	Rodney Cannon	Manager of the Ultimate GP of the GP of the Issuer	2025-09-08
0002078034-25-000001	101	VEPF VIII Co-Invest 7-A, L.P.	Robert F. Smith	Robert F. Smith	Managing Member of Senior Managing Mbr of GP of GP of Issuer	2025-09-08
0002084808-25-000001	101	PG Anchorage Investors, LLC	/s/ Kevin M. Cadin	Kevin M. Cadin	General Counsel	2025-09-08
0001551922-25-000005	101	Edgewood Capital Partners V LLC	Thomas F. McDevitt	Thomas F. McDevitt	President	2025-09-08
0001965770-25-000003	101	Playcast, Inc.	/s/ William Gossman	William Gossman	Chief Financial Officer	2025-09-08
0002083398-25-000001	101	CF GLOBAL 12 LP	/s/ Michael Lawrence	Michael Lawrence	Authorized Signatory	2025-09-08
0002083399-25-000001	101	CF GLOBAL 11 LP	/s/ Michael Lawrence	Michael Lawrence	Authorized Signatory	2025-09-08
0002016687-25-000001	101	CardioWise, Inc.	John C. Coats	John C. Coats	Chief Executive Officer	2025-09-08
0002083400-25-000001	101	CF GLOBAL 10 LP	/s/ Michael Lawrence	Michael Lawrence	Authorized Signatory	2025-09-08
0001988630-25-000002	101	NE Holdings & Investments, LLC	Pravin Kotadia	Pravin Kotadia	Manager of Manager	2025-09-08
0002081111-25-000004	101	Inspire Global Ventures Fund I, LP	/s/ Caitlin Panasci	Caitlin Panasci	Manager of the General Partner of the Issuer	2025-09-08
0001062993-25-015387	101	Hydreight Technologies Inc.	/s/ Shane Madden	Shane Madden	CEO & Director	2025-09-08
0001874298-25-000004	101	Wugen, Inc.	/s/ Kumar Srinivasan	Kumar Srinivasan	President and Chief Executive Officer	2025-09-08
0002084508-25-000001	101	V360 Holdings LLC Series Orion - Isobio	Michael Khorassani	Michael Khorassani	Manager	2025-09-08
0001896752-25-000003	101	Sabio Holdings Inc.	/s/ Sajid Premji	Sajid Premji	Chief Financial Officer	2025-09-08
0001062993-25-015386	101	ALLEGIANT GOLD LTD	/s/ Sean McGrath	Sean McGrath	CFO	2025-09-08
0002031995-25-000003	101	RLCF I LLC	Samuel Kwadrat	Samuel Kwadrat	Managing Partner of Rhine Legacy Capital LLC, Manager	2025-09-08
0000905148-25-003302	101	BAM Atlas Enhanced Access Fund LLC	Andrea Capeci	Andrea Capeci	Chief Financial Officer of the Administrator	2025-09-08
0002078342-25-000004	101	MAYWOOD RACQUET HOLDINGS LLC	Eric G. Udoff	Eric G. Udoff	President	2025-09-08
0002085064-25-000001	101	VCF IX PVN Capital, L.P.	Oladipo Ashiru	Oladipo Ashiru	Authorized Signatory of the GP of the Issuer	2025-09-08
0000905148-25-003301	101	KKR North America XIV Private Investors Offshore SICAV-RAIF S.C.Sp.	Patrick O'Hearn	Patrick O'Hearn	Executive Director of the Administrator of the Issuer	2025-09-08
0002083777-25-000002	101	HLV Disruptive AI Fund LLC	/s/ Michael Venturino	Michael Venturino	Managing Member of Manager of Issuer	2025-09-08
0001615594-25-000106	101	High Street Holdco, LLC	/s/ Scott Wick	Scott Wick	Chief Executive Officer	2025-09-08
0001612017-25-000002	101	Rothschild Cornerstone Fund, LP	David D. Rothschild	David D. Rothschild	Managing Member of the Issuer's General Partner	2025-09-08
0002083426-25-000003	101	Legend Capital Ventures I, LLC	Adam Merino	Adam Merino	Managing Member of the Manager	2025-09-08
0002085095-25-000001	101	GHC Springfield-Ozark, LLC	Lawrence Brown	Lawrence Brown	By POA from Henry J. Hughes, President	2025-09-08
0002030344-25-000013	101	PATHFINDER PARTNERS INCOME FUND, L.P.	Lorne Polger	Lorne Polger	Manager of PATHFINDER MANAGEMENT AND OPERATIONS COMPANY, LLC	2025-09-08
0002085035-25-000001	101	Oakley Capital North CV SCSp	Jerome Absil	Jerome Absil	Conducting Officer of the Manager of Issuer	2025-09-08
0000905148-25-003300	101	CastleKnight Access Fund LLC	Andrea Capeci	Andrea Capeci	Chief Financial Officer of the Administrator	2025-09-08
0001973062-25-000002	101	VIDA Global Inc.	Lyle Pratt	Lyle Pratt	Director	2025-09-08
0002074974-25-000001	101	Arrow Credit Opportunities III SCSp, SICAV-RAIF	Clarissa Steland	Clarissa Steland	Manager of the General Partner of the Issuer	2025-09-08
0000905148-25-003299	101	Cinctive Global Master Fund Ltd.	Christine Glick	Christine Glick	COO of the Investment Manager and Director of the Issuer	2025-09-08
0002074386-25-000001	101	Arrow Credit Opportunities III Corporate Feeder SCSp	Clarissa Steland	Clarissa Steland	Manager of the General Partner of the Issuer	2025-09-08
0002033913-25-000003	101	Acretrader 252, LLC	Robert Thomas Moore	Robert Thomas Moore	General Manager	2025-09-08
0002030344-25-000012	101	Pathfinder Multifamily Opportunity Fund IX, L.P.	Lorne Polger	Lorne Polger	Manager of General Partner	2025-09-08
0001896251-25-000001	101	Open Heart Fund, LP	David Hu	David Hu	Managing Member of the General Partner	2025-09-08
0001415889-25-023852	101	BILL360, INC.	/s/ Paul L. Hunter	Paul L. Hunter	Chief Executive Officer	2025-09-08
0002037865-25-000001	101	Crow Holdings Industrial Development Fund, L.P.	M. Kevin Bryant	M. Kevin Bryant	VP and Secretary of the GP of GP of GP of Issuer	2025-09-08
0002083418-25-000002	101	Spinnaker Realty Fund III, L.P.	James C. McCormack	James C. McCormack	Senior Vice President of the General Partner of the Issuer	2025-09-08
0000905148-25-003298	101	Cinctive Global Fund LP	Christine Glick	Christine Glick	Chief Operating Officer of the Investment Manager	2025-09-08
0002070786-25-000003	101	Smarter Web Co PLC	Albert Soleiman	Albert Soleiman	CFO	2025-09-08
0002074970-25-000001	101	Arrow Credit Opportunities III USD Feeder SCSp	Clarissa Steland	Clarissa Steland	Manager of the General Partner of the Issuer	2025-09-08
0002083426-25-000002	101	6529 Punk Partners LP	Jeffrey Bandman	Jeffrey Bandman	Authorized Signatory of the Managing Member of the GP	2025-09-08
0002083426-25-000001	101	6529 Punk Partners Ltd.	Jeffrey Bandman	Jeffrey Bandman	Director	2025-09-08
0000905148-25-003297	101	Cinctive Global Fund Ltd.	Christine Glick	Christine Glick	COO of the Investment Manager and Director of the Issuer	2025-09-08
0002083418-25-000001	101	Spinnaker Realty Fund III, L.P.	James C. McCormack	James C. McCormack	Senior Vice President of the General Partner of the Issuer	2025-09-08
0002081194-25-000002	101	Certa Fund I, LP	Lauren McMahon	Lauren McMahon	Manager	2025-09-08
0000905148-25-003296	101	LGIM America US Intermediate Credit Fund, LLC	Kristina St. Charles	Kristina St. Charles	General Counsel of the Manager and Investment Adviser	2025-09-08
0002033548-25-000114	101	EPQ LLC, PRME IX Series	Michael Stanton	Michael Stanton	Authorized Signatory of the Managing Member of the Issuer	2025-09-08
0002082996-25-000001	101	Veuu Bridge Capital Partners, LLC	Alando Jonathon Ballantyne	Alando Jonathon Ballantyne	By POA from James Horton Barnish, Jr., Manager of Manager	2025-09-08
0001992873-25-000004	101	Proteus Series Feeder Fund I, LLC - Shavano Fund	Ryan Laughon	Ryan Laughon	CCO	2025-09-08
0001992873-25-000003	101	Proteus Series Feeder Fund I, LLC - Tabeguache Fund	Ryan Laughon	Ryan Laughon	CCO	2025-09-08
0001977419-25-000001	101	Smartland FND5, LLC	Vadim Kleyner	Vadim Kleyner	Manager of Manager	2025-09-08
0002084918-25-000001	101	Altimeter Adirondack Fund I, L.P.	/s/ Matthew Tolve	Matthew Tolve	Vice President of the General Partner of the Issuer	2025-09-08
0002085079-25-000001	101	Iron Elk Capital Equity Income Fund, LP	/s/ Troy Vanderzanden	Troy Vanderzanden	Director of the General Partner	2025-09-08
0002063407-25-000044	101	Infinity Premier Fund (QP) Cayman, L.P.	/s/ Jeffrey Vale	Jeffrey Vale	Manager of General Partner	2025-09-08
0002033035-25-000001	101	UM Capital LLC	James Marshall	James Marshall	POA from Frank Oman, CEO	2025-09-05
0002079654-25-000002	101	Venture Core Fund XII, L.P.	/S/ ROBERT P. MORGAN	ROBERT P. MORGAN	CEO AND MANAGER OF THE GP OF THE GP OF THE ISSUER	2025-09-08
0002063407-25-000043	101	Infinity Premier Fund (QP), L.P.	/s/ Jeffrey Vale	Jeffrey Vale	Managing Director of General Partner	2025-09-08
0002079882-25-000001	101	Buyout Core Fund XII, L.P.	/S/ ROBERT P. MORGAN	ROBERT P. MORGAN	CEO AND MANAGER OF THE GP OF THE GP OF THE ISSUER	2025-09-08
0001992873-25-000002	101	Proteus Series Feeder Fund I, LLC - Shavano Fund	Ryan Laughon	Ryan Laughon	CCO	2025-09-08
0002079654-25-000001	101	Private Equity Core Fund XII, L.P.	/S/ ROBERT P. MORGAN	ROBERT P. MORGAN	CEO AND MANAGER OF THE GP OF THE GP OF THE ISSUER	2025-09-08
0002063407-25-000042	101	Infinity Premier Fund LP	/s/ Jeffrey Vale	Jeffrey Vale	Managing Director of General Partner	2025-09-08
0001829334-25-000003	101	Supabase, Inc.	/s/ Paul Copplestone	Paul Copplestone	Chief Executive Officer	2025-09-08
0002081194-25-000001	101	New Era Investors, LP	Robert J. Rogers	Robert J. Rogers	Manager	2025-09-08
0001600285-25-000009	101	WhiteSpruce Fund Ltd.	/s/ Edward J. Ludwig IV	Edward J. Ludwig IV	Chief Financial Officer/Chief Compliance Officer	2025-09-08
0002077347-25-000001	101	Blackbird Ventures 2025 Core Fund Trust	/s/ Justine Lara Nangle	Justine Lara Nangle	Company Secretary & Executive Officer of the Trustee & MGR	2025-09-05
0002079448-25-000001	101	AVSF - Optery 2025, LLC	Hilary Ncala	Hilary Ncala	Senior VP, Alumni Funds of Issuers Sole Manager	2025-09-08
0002063407-25-000041	101	OCEAN FUND LTD	/s/ Jeffrey Vale	Jeffrey Vale	Director	2025-09-08
0002084858-25-000001	101	Powell SCSp	Joseph Noel Michel Marie Davin	Joseph Noel Michel Marie Davin	Director of the General Partner of the Issuer	2025-09-08
0001775000-25-000004	101	Godafoss Capital, LP	Adam Veres	Adam Veres	Authorized Signatory	2025-09-08
0001718271-25-000004	101	Prometheum, Inc.	/s/ Benjamin S. Kaplan	Benjamin S. Kaplan	Co-CEO	2025-09-08
0002077355-25-000001	101	Blackbird Ventures 2025, LP	/s/ Justine Lara Nangle	Justine Lara Nangle	Company Secretary & Executive Officer of the MGR & GP of GP	2025-09-05
0002083766-25-000001	101	NIS Short Duration Fund, LLC	Scott O. Van Lith	Scott O. Van Lith	Chief Financial Officer	2025-09-08
0001012975-25-000515	101	MCP Continuation Fund II Cooperatief U.A.	/s/ Hans Charly Zwemstra	Hans Charly Zwemstra	Managing Partner & CIO	2025-09-08
0000935836-25-000590	101	Zipper Line Fund LP	Jonathan D. Cohen	Jonathan D. Cohen	Manager of Zipper Line Fund GP LLC, General Partner	2025-09-08
0002077944-25-000001	101	Start With Level, Inc.	James Schad	James Schad	CEO	2025-09-08
0002077362-25-000001	101	Blackbird Ventures 2025 Follow-on Fund Trust	/s/ Justine Lara Nangle	Justine Lara Nangle	Company Secretary & Executive Officer of the Trustee & MGR	2025-09-05
0002084867-25-000002	101	Highlands at Fairhope Village Holdings LLC	John D. Baumhauer, IV	John D. Baumhauer, IV	Manager	2025-09-08
0002083096-25-000001	101	Ardent Financial Fund VI, LP	/s/ Dror Bezalel	Dror Bezalel	CFO of General Partner of Issuer	2025-09-08
0001923090-25-000004	101	Slaine Holdings LLC	Terrence M. McLean	Terrence M. McLean	President	2025-09-05
0002084641-25-000001	101	MO-02141 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Person of the Agent of Issuer's GP	2025-09-08
0002082901-25-000001	101	10Talents Private Fund XVIII, LP	/s/ Drew Goudy	Drew Goudy	Manager of Sole Member of General Partner of Issuer	2025-09-03
0001701986-25-000001	101	Knaq, Inc.	/s/ Brian Carey	Brian Carey	Chief Executive Officer	2025-09-08
0002084747-25-000001	101	OCA DP LLC	Kevin Mistretta	Kevin Mistretta	Chief Compliance Officer	2025-09-08
0002083509-25-000001	101	Parker Glen, LP	Douglas A. Motley	Douglas A. Motley	Authorized Representative	2025-09-08
0001014108-25-000059	101	United Capital Financial Partners, LLC	/s/ Rob Mlenek	Rob Mlenek	Chief Financial Officer of United Capital Financial Partners	2025-09-08
0002061369-25-000001	101	EquityZen Growth Technology Fund LLC - Series 2092	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2025-09-08
0001411913-25-000001	101	Cantillon Global Equity Fund	Kevin S. Aarons	Kevin S. Aarons	Director	2025-09-03
0001869641-25-000001	101	BV SPV Holdings, LLC	/s/ Scott Johnson	Scott Johnson	Manager	2025-09-08
0001062993-25-015377	101	Brooklyn Dumpling Parent Holdings, Inc.	/s/ Jeff Galletly	Jeff Galletly	CEO and Director	2025-09-08
0002084651-25-000001	101	OBT Outparcel LLC	Nicholas Jones	Nicholas Jones	Authorized Signatory	2025-09-08
0001983300-25-000002	101	US Positronix Inc.	Remigio Perales	Remigio Perales	President	2025-09-08
0002080156-25-000013	101	Rosestone Partners, LP	Wen Newman	Wen Newman	Manager	2025-09-07
0001411914-25-000001	101	Cantillon Global Equity LP	Kevin S. Aarons	Kevin S. Aarons	Chief Operating Officer of the General Partner	2025-09-03
0001011548-25-000001	101	PITCAIRN ALTERNATIVE INVESTMENT FUND L P	/s/ Harold F. Pitcairn II	Harold F. Pitcairn II	Executive Officer of General Partner	2025-09-08
0002063892-25-000002	101	Journey Rewards Inc.	William Matthew McBride	William Matthew McBride	CFO	2025-09-08
0002078049-25-000001	101	Step Into AI Inc.	/s/ Karan Mishra	Karan Mishra	Chief Executive Officer	2025-09-08
0002080156-25-000012	101	Infinity Core Plus Fund, LP	Jeff Vale	Jeff Vale	Manager	2025-09-08
0002077218-25-000001	101	AVSF - Peer 2025, LLC	Hilary Ncala	Hilary Ncala	Senior VP, Alumni Funds of Issuers Sole Manager	2025-09-08
0001923478-25-000005	101	Alpha Hedge Fund, LLC/FL	Ryan Markowski	Ryan Markowski	Authorized Member of the Manager	2025-09-08
0001062993-25-015376	101	Brooklyn Dumpling Parent Holdings, Inc.	/s/ Jeff Galletly	Jeff Galletly	CEO and Director	2025-09-08
0002082994-25-000001	101	Variant Fund IV, L.P.	/s/ Jesse Walden	Jesse Walden	Managing Member of the General Partner	2025-09-08
0002083528-25-000001	101	CCRE Equity & Investment Office LLC	Robert Capelli	Robert Capelli	Director	2025-09-08
0001488529-25-000002	101	Integrity Boston Fund, LP	/s/ Stephen C. Demirjian	Stephen C. Demirjian	Managing Member of the Issuer's General Partner	2025-09-08
0000950142-25-002390	101	Varde VCC Fund, SCSp	/s/ Jakub Jasica	Jakub Jasica	Manager	2025-09-08
0001013594-25-001142	101	COMPASS CAPITAL PARTNERS L P	/s/ Gregory Schmitt	Gregory Schmitt	Managing Member of the General Partner of the Issuer	2025-09-08
0001985017-25-000002	101	Microplate Dx	/s/ Stuart Hannah	Stuart Hannah	CEO	2025-09-08
0002059984-25-000002	101	1213 Gentry LLC	Omar Awad	Omar Awad	Manager	2025-09-08
0001936929-25-000004	101	Juniper Fund Cayman, LLC	Frederic Ryser	Frederic Ryser	Director	2025-09-08
0002074353-25-000002	101	WinMoreBD, Inc.	David James Huff	David James Huff	CEO	2025-09-08
0002082896-25-000001	101	Little Nuance Ltd Liability Co	John Johnson	John Johnson	Principal of a Manager of the Issuer	2025-09-04
0001633858-25-000003	101	Audax Credit BDC Inc.	/s/ Daniel Weintraub	Daniel Weintraub	Authorized Person	2025-09-08
0001292004-25-000001	101	ACL ALTERNATIVE FUND SAC Ltd	/s/ Peter Carney	Peter Carney	Director	2025-09-08
0002079788-25-000002	101	EquityZen Growth Technology Fund LLC - Series 2111	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2025-09-08
0002078355-25-000003	101	GW Washington 1666 LLC	Maria Clara Moreno Quevedo	Maria Clara Moreno Quevedo	Filing Agent	2025-09-08
0001979694-25-000001	101	GH Opportunity Fund LP	/s/ Larry Pitkowsky	Larry Pitkowsky	Managing Member of the General Partner	2025-09-08
0001012975-25-000514	101	Hollyport Co-Invest IX-B LP	/s/ Fe Sapalo	Fe Sapalo	Director of the General Partner of the Issuer	2025-09-08
0001682558-25-000008	101	Alexander Capital Ventures LLC	Jonathan Gazdak	Jonathan Gazdak	Manager	2025-06-30
0002082774-25-000001	101	MA-0804 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2025-09-08
0002084764-25-000001	101	Futurionex Blockchain Trading Ltd	EVAN JAUNDZIEKARS	EVAN JAUNDZIEKARS	CEO	2025-09-08
0002079788-25-000001	101	EquityZen Growth Technology Fund LLC - Series 2151	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2025-09-08
