company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
ENRG INC,Manufacturing,enrg.co,BUFFALO,NY,14207,(716) 873-2939,,,"JOHN A OLENICK, KATHLEEN R OLENICK, VISWANATHAN R VENKATESWARAN",,,,,,,,,,
ENSAGE INC,Other Health Care,ensage.com,NEW YORK,NY,10001,(347) 218-0393,2022.0,3.0,Doug Elwood,"Jeff DeFlavio, Kevin Ryan",1500000.0,1500000.0,Pre-Seed,2022-07-26,,,,,
ENSEMBLE LABS INC,Other Technology,ensemblelabs.com,SAN FRANCISCO,CA,94107,(650) 843-0988,2021.0,4.0,"Abhishek Choudhary, Anuraag Gutgutiia, Nikunj Bajaj","Abhishek Choudhary, Anuraag Gutgutiia, Nikunj Bajaj",21153972.0,18968972.0,Series B,2024-12-31,,,,,
ENSEMBLE TECHNOLOGIES INC,Other,ensemble-technologies.com,Venice,CA,90292,(310) 993-5917,2021.0,4.0,Jacklyn Rome,"Daniel Shani, Mark Johnson",3000000.0,3000000.0,Seed,2021-03-24,,,,,
ENSHO THERAPEUTICS INC,Biotechnology,,MORRIS PLAINS,NY,7950,(973) 241-3669,2024.0,1.0,"Bittoo Kanwar, Danielle Andrew Fry, Danielle Fry, Emily Andrew Weng, Emily Weng, James Andrew Whitney, James Whitney, Matthew Andrew McKevitt, Matthew McKevitt, Neena Bitritto-Garg","Arash Rassoulpour, Carlos Solorzano, Eric Pham",37000000.0,22500000.0,Series B,2025-06-12,,,,,
ENSIGHT INC,Other Technology,ensight.com,SAN DIEGO,CA,92130,(858) 353-4859,2022.0,3.0,George W. Unrue,"Dennis W. Clerke, Ernest W. Rady, Harry W. Rady, Rafael W. Pastor",5000000.0,5000000.0,Series A,2022-02-24,,,,,
ENSOMA INC,Biotechnology,ensoma.com,Boston,MA,2210,(617) 272-2400,2019.0,6.0,"Emile Nuwaysir, Kush Parmar","Albert M Seymour, Albert Seymour, Kouki M Harasaki, Kush M Parmar, Mark M Chin, Nihal Sinha, Paula Soteropoulos, Stephen Knight",278550838.0,129000467.0,Series D+,2022-12-23,8.0,0.0,100.0,116500.0,"['Senior Associate Scientist, Upstream Process Development']"
ENSPECTRA HEALTH INC,Other Health Care,enspectrahealth.com,MOUNTAIN VIEW,CA,94040,(650) 714-0435,,,Gabriel Sanchez,"Scott Delp, Xuhui Shao",12073600.0,12073600.0,Series A,2019-02-21,,,,,
ENSPIRE BIO INC,Biotechnology,,LOS ANGELES,CA,90071,(310) 880-6414,2017.0,8.0,Amy Wang,,3234800.0,3234800.0,Seed,2017-06-01,,,,,
ENSTRUCTURE HOLDCO LLC,Other,,WELLESLEY,MA,2481,(781) 591-3633,2022.0,3.0,"Matthew R. Satnick, Philippe R. De Montigny",,120000000.0,120000000.0,Series D+,2023-03-02,,,,,
ENSTRUCTURE LLC,Other,enstructure.com,WELLESLEY,MA,2481,(781) 591-3633,2015.0,10.0,"J. Kenison Budreau, Janet R. Arsenault, Matthew R. Satnick, Philippe R. De Montigny","Alex R. Klabin, Brian R. Frank",199000000.0,15000000.0,Series B,2021-11-15,,,,,
ENSURIFY INC,Other Technology,,CAMBRIDGE,MA,2142,(781) 369-5695,2013.0,12.0,Snejina Zacharia,"George Kassagbi, Giorgos Zacharia, Mark Rosenblatt",2053198.0,2053198.0,Seed,2015-02-06,,,,,
ENSYSCE BIOSCIENCES INC,Other Health Care,,LA JOLLA,CA,92037,(858) 263-4196,,,"D Lynn Kirkpatrick, David Lynn Humphrey","Adam Lynn Levin, Andrew Lynn Benton, Bob Lynn Gower, Curtis Lynn Rosebraugh, Lee Lynn Rauch, Steve Lynn Martin, William Lynn Chang",40270028.0,2200012.0,Seed,2025-04-23,,,,,
ENT TECHNOLOGIES INC,Other Technology,ent-technologies.com,SAN DIEGO,CA,92126,(858) 222-3347,2014.0,11.0,Timothy Mossbarger,,4000000.0,4000000.0,Pre-Seed,2015-03-30,,,,,
ENT&C HOLDINGS LLC,Other Health Care,entc.com,BOSTON,MA,2109,(617) 248-1450,2018.0,7.0,"Alexander S. McGrath, Benjamin M. Geis, D. Andrew Tatman II, John L. Davis, Stephen M. Jenks",,30743000.0,30743000.0,Series B,2018-09-13,,,,,
ENTACT BIO INC,Biotechnology,entactbio.com,WATERTOWN,MA,2472,(617) 909-7579,2021.0,4.0,Victoria Richon,"Alon Lazarus, Andrew Sinclair, Anna French, Owen Smith, Richard Gaster",80221699.0,40321700.0,Series C,2024-01-19,,,,,
ENTANGLED VENTURES LLC,Other Technology,entangledventures.com,SAN FRANCISCO,CA,94105,(415) 570-9321,2014.0,11.0,"Nick Hammerschlag, Paul Freedman, Paul Sheppard",Carl Lu,24732574.0,20482574.0,Series B,2019-01-30,,,,,
ENTASIS THERAPEUTICS HOLDINGS INC,Biotechnology,entasistherapeutics.com,Waltham,MA,2451,(781) 810-0120,2018.0,7.0,"David Altarac, Elizabeth Keiley, John Mueller, Michael Gutch, Ruben Tommasi","David Hastings, David Meek, Heather Behanna, Heather Preston, Howard Mayer",24999999.0,24999999.0,Series B,2020-08-27,,,,,
ENTECH SALES & SERVICE LLC,Other,,DALLAS,TX,75234,(469) 522-6000,,,"John Mattes, Michael Neagle, Robert Emmert, Robin Mattes, Sonny Goodwin",,30030225.0,30030225.0,Seed,2018-06-01,,,,,
ENTEFY INC,Other Technology,entefy.com,PALO ALTO,CA,94301,(650) 704-9128,2012.0,13.0,"Alston Ghafourifar, Mehdi Ghafourifar","Brienne Ghafourifar, Duncan Niederauer, Lily Sarafan, Willem Roelandts",33656493.0,7911493.0,Series A,2017-06-27,,,,,
ENTEGRA TECHNOLOGIES INC,Other Technology,entegra.com,PLANO,TX,75024,(214) 906-0495,2012.0,13.0,"Doug Fowler, Steve Carpenter",Peter Wilson,10400000.0,5000000.0,Seed,2014-11-10,,,,,
ENTELIGENT INC,Energy Conservation,enteligent.com,MORGAN HILL,CA,95037,(888) 259-4600,2021.0,4.0,"Bahman Sharifipour, Brian Reeves, Paul Reeves, Scott Lin, Sean Burke","Jonathan Hannam, Rick Rommel",25679371.0,12354019.0,Series A,2024-05-03,,,,,
ENTELO INC,Other Technology,entelo.com,SAN FRANCISCO,CA,94107,(310) 351-7275,2011.0,14.0,Jonathan Bischke,Roger Lee,4927487.0,4927487.0,Seed,2014-09-04,,,,,
ENTENDRE FINANCE INC,Other,,NEW YORK,NY,10012,(786) 420-3342,2022.0,3.0,Kareem Khattab,Xuezhao Lan,4064002.0,4064002.0,Seed,2022-08-26,,,,,
ENTERPRISE RISK CONTROL LLC,Other,,PLANO,TX,75093,(972) 599-1222,2012.0,13.0,"Gary Dean Hofer, Gary Hofer, Lonnie Derden, Lonnie Ray Derden","Billy Dean Thrailkill, Gary Dean Weiss",2987500.0,1487500.0,Pre-Seed,2018-05-31,,,,,
ENTERTAINMENT DATA ORACLE INC,Other Technology,,New York,NY,10013,(415) 297-4309,2014.0,11.0,Kevin Krim,"Alicia Zhu, Daniel Nadler, Edward Norton, Jim Breyer, Laura Held",98419891.0,84855099.0,Series C,2022-03-30,,,,,
ENTERTAINMENT TICKET HOLDINGS INC,Other,entertainmentticket.com,NEW YORK,NY,10019,(212) 265-6222,2016.0,9.0,Jason E. Glass,Douglas E. Behrman,77500000.0,77500000.0,Series C,2016-08-24,,,,,
ENTHALPIC CAPITAL LLC,Other Energy,enthalpic.com,NEW YORK,NY,10004,(917) 331-2005,2014.0,11.0,"Frederick B Lim, Walter Gray",,2500000.0,2500000.0,Pre-Seed,2014-11-17,,,,,
ENTHEA BENEFITS PUBLIC BENEFIT CORP,Health Insurance,,NEWTON,MA,2460,(312) 776-4458,2022.0,3.0,"Dan Rome, Sherazade Rais",Maria Velkova,3500000.0,3500000.0,Seed,2022-10-11,,,,,
ENTHEOS LABS INC,Other Health Care,entheos-labs.com,BROOKLINE,MA,2446,(617) 651-3442,2022.0,3.0,"Alexander Tristan Edwards, Brian Tristan Malone","James Tristan Wilkinson, Jerrold Tristan Rosenbaum, Lawrence Tristan Gozlan",10000000.0,10000000.0,Seed,2024-09-25,,,,,
ENTHOS CIRCULAR FEED TECHNOLOGIES INC,Manufacturing,,NEW YORK,NY,10011,(917) 640-2386,2021.0,4.0,"Andreas Grimminger, David Juracich, Florentino Torres Meneses, Luis Fernando Mendez Dupont","Francisco Saraiva Gomes, Larsen Mettler",8000000.0,8000000.0,Seed,2025-03-24,,,,,
ENTIGENLOGIC LLC,Other Technology,entigenlogic.com,SCHAUMBURG,IL,60173,(714) 308-1380,,,"David R. Lazzara, Gordon F. Gruszka, Rob R. Joy, Thomas F. Shirley","Amreesh F. Modi, Dennis F. Roberson, Samme F. Thompson",4000000.0,2000000.0,Pre-Seed,2023-09-11,,,,,
ENTITLE FUND ONE LLC,Other,,PUYALLUP,WA,98372,(253) 840-5660,2015.0,10.0,"Greg Heath, Jonathan Bartels",,,,,,,,,,
ENTOMO INC,Other Technology,entomo.com,BELLEVUE,WA,98006,(425) 467-0433,,,"Sanjoy Chatterji, Suresh Kumar","James Goldfinger, Laurence Seifert, Stockton Rush",5500000.0,3500000.0,Seed,2017-03-31,,,,,
ENTOUCH CONTROLS INC,Energy Conservation,entouchcontrols.com,RICHARDSON,TX,75080,(214) 501-7921,2011.0,14.0,"Eric Denton, Frank Menocal, GREG FASULLO, Greg Fasullo, JAMES WALTON, Jon Bolen","DAVID KIRKPATRICK, DAVID MATTHEWS, David Kirkpatrick, David Matthews, Joel Fontenot, Maureen Ehrenberg, ROBERT CHEFITZ, Richard Chleboski, Robert Chefitz, SCOTT BOXER, Scott Boxer",23900000.0,1500000.0,Pre-Seed,2024-06-28,,,,,
ENTOURAGE COMMERCE LLC,Other Technology,,ISLANDIA,NY,11749,(347) 416-6639,2014.0,11.0,"Adam Berkowitz, Andrew Vagenas, Bradley Tramunti, James Mastronardi, Jonathan Webb","Glenn Nussdorf, Nitish Kapoor, Thomas Rodgers",42500000.0,42500000.0,Series B,2018-06-11,,,,,
ENTRADA THERAPEUTICS INC,Biotechnology,entradatherapeutics.com,BOSTON,MA,2210,(857) 305-1825,2016.0,9.0,"Dipal Doshi, Kory F. Wentworth, Mario Saltarelli, Natarajan F. Sethuraman, Natarajan Sethuraman, Nathan Dowden, Nathan F. Dowden, Nerissa F. Kreher","Anja Harmeier, Carole F. Nuechterlein, Christine Brennan, Dehua Pei, John Crowley, John F. Crowley, Kush M. Parmar, Kush Parmar, Louis Tartaglia, Peter F. Kim, Todd F. Foley",175271749.0,116249999.0,Series D+,2021-03-29,20.0,0.0,100.0,93563.0,"['Research Associate II', 'Scientist I', 'Scientist II']"
ENTRADA VENTURES SPV I LLC,Other,,SANTA BARBARA,CA,93101,(805) 886-3239,2020.0,5.0,"Alexander Fang, GP LLC Entrada Ventures, Ventures GP LLC Entrada","GP, LLC Entrada Ventures",16006650.0,1100000.0,Pre-Seed,2022-04-15,,,,,
ENTRI INC,Other Technology,entri.com,BOSTON,MA,2210,(650) 843-0988,2017.0,8.0,"Mohammed Hisamuddin, Puthur Abdulhameed Mohammed Hisamuddin, Rahul Ramesh","Arjun Abdulhameed Mohammed Malhotra, Arjun Malhotra, Mohammud Peerun, Rahul Abdulhameed Mohammed Ramesh, Rahul Ramesh, Sarvesh Abdulhameed Mohammed Kanodia, Sarvesh Kanodia",12718800.0,3473800.0,Seed,2023-07-28,,,,,
ENTRINSIC HEALTH SOLUTIONS INC,Other Health Care,,NORWOOD,MA,2062,(781) 352-5450,2014.0,11.0,"Bryon B. Kalogerou, Byron S. Kalogerou, Stephen J. Gatto","Brian B. Fox, Brian J. Fox, Daniel B. Dennison, Daniel J. Dennison, Michael B. Warren, Michael J. Warren, Sadasivan B. Vidyasagar, Sadasivan J. Vidyasagar, Stacy B. Feld, Stephen B. Shey, Steve B. Shey, Steve J. Shey",19200220.0,1700000.0,Pre-Seed,2018-06-15,,,,,
ENTRION WIND INC,Manufacturing,entrionwind.com,HOUSTON,TX,77024,(713) 894-6161,2020.0,5.0,"Eivind Johnsen, Li Lee",Mike Rydin,3000000.0,3000000.0,Pre-Seed,2022-12-22,,,,,
ENTROMY LLC,Other,entromy.com,BOSTON,MA,2108,(617) 419-7116,,,Jan Jamrich,,2000000.0,2000000.0,Pre-Seed,2024-08-28,,,,,
ENTROPY CRYPTOGRAPHY INC,Other Technology,,NEW YORK,NY,10003-1502,(502) 694-2068,2021.0,4.0,JOHN PACIFIC,,26969850.0,25010100.0,Series B,2022-03-22,,,,,
ENTROPY MEDIA LLC,Other Technology,entropy-media.com,LOS ANGELES,CA,90066,(646) 584-1026,2022.0,3.0,Anjay Nagpal,,1685781.0,1685781.0,Pre-Seed,2023-12-19,,,,,
ENTRUPY INC,Other,entrupy.com,NEW YORK,NY,10022,(503) 327-9250,,,"Ashlesh Sharma, Lakshminarayanan Subramanian, Vidyuth Srinivasan",,10060780.0,4999999.0,Seed,2022-03-18,10.0,0.0,100.0,165464.0,"['Data Engineer', 'Engineering Team Lead ']"
ENTRY INC,Other Technology,entry.com,NEW YORK,NY,10007,(000) 000-0000,2023.0,2.0,"Benedict Nestares Dohmen, Santiago Nestares Lampo",,5957484.0,5957484.0,Series A,2024-06-03,,,,,
ENTRYDOCK INC,Other Technology,entrydock.com,NEW YORK,NY,10027,(415) 886-7558,2023.0,2.0,Rajesh Jayaraman,,1500000.0,1500000.0,Pre-Seed,2023-12-12,,,,,
ENTVANTAGE DIAGNOSTIC ASSOCIATES LLC,Biotechnology,,AUSTIN,TX,78756,(512) 431-6071,2020.0,5.0,Joseph Stephen Skraba,Richard John Hawkins,1320000.0,1320000.0,Pre-Seed,2020-07-29,,,,,
ENTVANTAGE DIAGNOSTICS INC,Other Health Care,,AUSTIN,TX,78756,(512) 431-6071,2014.0,11.0,Joseph S Skraba,"Blobel S Friedhelm, Donald Gonzales, Donald J Gonzales, John S Paulos, Richard Hawkins, Richard J Hawkins, Russell S Bradley",9936146.0,1036146.0,Pre-Seed,2019-08-20,,,,,
ENTYTLE INC,Other Technology,entytle.com,AUSTIN,TX,78757,(512) 687-7293,2014.0,11.0,"Vivek Joshi, Vivek Madhav Joshi","Dinesh Katiyar, Robert Clarkson, Robert Madhav Clarkson",10548802.0,2548802.0,Seed,2021-11-02,,,,,
ENUMERAL BIOMEDICAL HOLDINGS INC,Pharmaceuticals,,CAMBRIDGE,MA,2139,(617) 674-1865,2012.0,13.0,"Anhco H. Nguyen, Ph.D., Anhco J. Nguyen, Arthur H. Tinkelenberg, Derek J. Brand, John J. Rydzewski, Kevin G. Sarney, Kevin J. Sarney, Wael Fayad","Allan B. Rothstein, Allan P. Rothstein, Arthur H. Tinkelenberg, Ph.D., Barry B. Buckland, Barry G. Buckland, Ph.D., Daniel B. Wolfe, Paul J. Sekhri, Robert J. Easton, Robert L. Van Nostrand",43024755.0,3600000.0,Pre-Seed,2017-05-19,,,,,
ENVEL INC,Other Banking and Financial Services,envel.com,BOSTON,MA,2109,(202) 841-5790,2017.0,8.0,"ALWYN VAN WYK, BRIAN HIGDON, DIEDERIK MEEUWIS, MATTHEW ARMANDI, STEPHEN LE ROUX, Stephen Le Roux","JOHN PAUL ROLLERT, LISA NELSON, MIKE BAXTER, NATHANA SHARMA, TED HILL",11850000.0,5000000.0,Pre-Seed,2021-07-07,,,,,
ENVELOP VR INC,Other Technology,envelopvr.com,BELLEVUE,WA,98004,(425) 968-2153,2010.0,15.0,"Hal R. Berry, Jon R. Mavor",Matt R. McIlwain,10550074.0,5550074.0,Series A,2015-10-30,,,,,
ENVENTIVE ENGINEERING INC,Other Technology,enventive-engineering.com,SOUTH LANCASTER,MA,1561,(978) 365-7458,,,Ralph A. Gifford,,1250000.0,1250000.0,Pre-Seed,2023-09-07,,,,,
ENVERID SYSTEMS INC,Other,,WESTWOOD,MA,2090,(617) 795-4000,2010.0,15.0,"Amnon Tamir, CHRISTIAN WEEKS, Christian Weeks, Israel Biran, UDI MEIRAV, Udi Meirav","CHRISTOPHER POIRIER, Christopher Poirier, Elan Zivotofsky, Gideon Ben-Zvi, JOSEPH KENNEDY III, MING CHOW, Milo Werner, PETER CHIDYLLO, Ron Stern",49289382.0,25000000.0,Series A,2023-05-04,,,,,
ENVEXERGY INC,Other,,NEW YORK,NY,10010,(678) 701-8072,2017.0,8.0,Perrin Quarshie,"David Silverman, Matthew Grierson, Michael Jones",18723240.0,15613243.0,Series B,2020-09-29,,,,,
ENVIEW INC,Other Technology,enview.com,SAN FRANCISCO,CA,94107,(650) 385-8259,2015.0,10.0,"Krassimir Piperkov, San Gunawardana","Helen Boniske, Matt Bigge",6045001.0,6045001.0,Series A,2017-07-21,,,,,
ENVIRO CLEAN GROUP LLC,Environmental Services,envirocleangroup.com,SAN ANTONIO,TX,78209,(210) 826-2250,2013.0,12.0,"Buddy Rainey Richardson, Clint W Lord, Gary Rainey Barnett, Herschel Rainey Roberts, Steve Rainey Lemke","G. Rainey Williams, John C Kerr, Matt W Murphy, Steven A Hassmann",4500000.0,4500000.0,Seed,2014-01-31,,,,,
ENVIRO WATER MINERALS COMPANY INC,Other,,HOUSTON,TX,77070,(281) 301-5559,2012.0,13.0,Joseph Hubble Hausman,"Carey Paul Hausman, Lane Richard Brostrom, Tommy Wayne Lott",3000000.0,3000000.0,Seed,2014-08-27,,,,,
ENVIROCON TECHNOLOGIES INVESTMENTS LLC,Other,,AUSTIN,TX,78704,(512) 382-9842,,,"Curtis Eggemeyer, Joseph Harvey","Donna Eggemeyer, Elizabeth Stewart, James Eggemeyer, Melissa Baker, Shannon Eggemeyer",10000000.0,10000000.0,Series A,2018-12-27,,,,,
ENVIROFORENSICS LLC,Investing,enviroforensics.com,WILMETTE,IL,60091,(773) 255-9085,2017.0,8.0,"Chris Gessner, Gregory I. Bregstone","Edward I. Leshin, James I. Illikman, Stephen R. Henshaw",4325000.0,4325000.0,Seed,2017-06-30,,,,,
ENVISAGENICS INC,Biotechnology,envisagenics.com,NEW YORK,NY,10013,(929) 777-2001,2014.0,11.0,"BRADLEY S. HARRIS, MARIA LUISA PINEDA, MARTIN LUISA AKERMAN, Maria Luisa Pineda, Martin Luisa Akerman","ALAN S. ROEMER, GRANT LUISA VERSTANDING",21681626.0,19181626.0,Series B,2021-09-22,,,,,
ENVISION DIAGNOSTICS INC,Other Technology,envisiondiagnostics.com,Torrance,CA,90503,(323) 632-9777,2011.0,14.0,"Alexander Walsh, Paul C. Updike, Paul Updike, Richard C. Castro","Patrick C. Walsh, Patrick J Welsh, Patrick Walsh, Patrick Welsh",27479598.0,23593805.0,Series B,2019-10-22,,,,,
ENVISION SOLAR INTERNATIONAL INC,Other Technology,,SAN DIEGO,CA,92111,(858) 799-4583,,,"CHRISTOPHER CAULSON, CHRISTOPHER M. CAULSON, DESMOND WHEATLEY","ANTHONY POSAWATZ, DONALD MOODY, JACK SCHNEIDER, JAY POTTER, JAY S. POTTER, JOHN EVEY, JOHN M. EVEY, PAUL FELLER, PETER DAVIDSON, ROBERT NOBLE",5000000.0,1000000.0,Pre-Seed,2015-07-14,,,,,
ENVOY COMMERCE CORP,Other Technology,,SAN FRANCISCO,CA,94107,(888) 368-6924,2012.0,13.0,Justin Lin,"Arthur Wu, Stephanie Palmeri",4999995.0,4999995.0,Seed,2015-04-20,,,,,
ENVOY TECHNOLOGIES INC,Other,envoy-technologies.com,CULVER CITY,CA,90232,(888) 610-0506,2016.0,9.0,"Aric Ohana, Ori Sagie","Travis D. Connors, Vikas D. Gupta",13916460.0,13916460.0,Series A,2020-10-28,,,,,
ENVY GAMING INC,Other,envygaming.com,DALLAS,TX,75219,(817) 965-0370,2016.0,9.0,"Adam A. Rymer, Geoff A. Moore, Jake Martinez, Michael Rufail","John Brock IV, John Brock, IV, Kenneth A. Hersh, Mark A. Coughlin, Randy Chappel",66258596.0,46259281.0,Series B,2021-03-05,,,,,
ENZINC INC,Other Energy,enzinc.com,Richmond,CA,94804,(301) 312-4780,2021.0,4.0,"Deborah Knuckey, MICHAEL BURZ, Michael Burz","Deborah Knuckey, Jacob Pflaum, Joshua Phitoussi, William Cogen",15352933.0,10852933.0,Series A,2024-12-03,,,,,
ENZO BIOCHEM INC,Other Health Care,,FARMINGDALE,NY,11735,(631) 755-5500,,,"Dieter Schapfel, M.D., Hamid Erfanian, Kara Cannon, Matthew Kupferberg, Patricia Eckert","Bradley L. Radoff, Elazar L. Rabbani, Ph.D., Ian L. Walters, M.D., Mary L. Tagliaferri, M.D.",7000000.0,7000000.0,Series A,2023-05-19,,,,,
ENZOFIA TECH FUND LLC,Other Technology,,PROSPER,TX,75078,(603) 560-5318,2024.0,1.0,"Anna Scott, Christian Patrick Scott",,,,,,,,,,
ENZYME HEALTH INC,Other Technology,enzymehealth.com,AUSTIN,TX,78704,(512) 850-5498,2018.0,7.0,"GRIFFIN MULCAHEY, MICHELLE DAVEY",MORGAN FLAGER,1709299.0,1709299.0,Pre-Seed,2018-11-19,,,,,
EOM INVESTMENT ADVISORS LLC,Business Services,,PITTSFIELD,MA,1201,(781) 416-7316,2021.0,4.0,Mark Allen Nydam,"Gavin Allen Long, Mark Allen Nydam, Paul Allen Gyra",4000000.0,4000000.0,Pre-Seed,2021-06-18,,,,,
EON GROUP HOLDINGS INC,Other Technology,eon-group.com,NEW YORK,NY,10001,(917) 596-1514,2017.0,8.0,Natasha Franck,,13233031.0,9999947.0,Series A,2022-01-25,,,,,
EON REALITY INC,Other Technology,eonreality.com,IRVINE,CA,92618,(949) 231-2815,2022.0,3.0,"Dan W. Lejerskar, Mats W. Johansson","Anna W. Lejerskar, Sridhar W. Sunkad",,,,,,,,,
EOSERA INC,Biotechnology,eosera.com,FORT WORTH,TX,76115,(844) 732-7929,2015.0,10.0,"Elyse Dickerson, Joseph Griffin",,6300000.0,5000000.0,Pre-Seed,2023-12-15,,,,,
EOSHEALTH INC,Other Health Care,eoshealth.com,CHICAGO,IL,60611,(312) 357-5450,,,"GLEN TULLMAN, JOSEPH E. CAREY, KIMON ANGELIDES, LEE SHAPIRO, PHILLIP B. DONENBERG","ROBERT C. CONTE, TOM C. MAIN",10000000.0,10000000.0,Series A,2014-04-22,,,,,
EP STREAMLINE CAPITAL PARTNERS LP,Other,,BOERNE,TX,78006,(210) 667-0942,2022.0,3.0,#NAME?,,7750000.0,7750000.0,Series A,2022-06-07,,,,,
EPALEX CORP,Pharmaceuticals,epalex.com,MOUNTAIN VIEW,CA,94040,6509463366 X700,,,"Arthur Franklin Rice, Brendan Magrab, Steven F Lincoln","Didric Cederholm, Enrique J Carrazana, Jon S Saxe, Jon S. Saxe, Matthew B Smith, Matthew J Smith, Matthew S. Smith, Michael A Rogawski, Michael J Rogawski, Michael Rogawski, Michael S. Rogawski, Randall B Murphy, Randall Murphy, Randall S. Murphy",64796253.0,14999998.0,Seed,2024-12-09,,,,,
EPATIENTFINDER INC,Other Technology,epatientfinder.com,AUSTIN,TX,78704,(512) 308-6378,,,Tom Dorsett,"Davis Walp, Jay Bhattacharyya, Joel Trammell, Steven Seach",3500000.0,3500000.0,Seed,2017-09-13,,,,,
EPC POWER CORP,Other Energy,epcpower.com,POWAY,CA,92064,(858) 748-5590,,,"Allan Abela, Devin Dilley, Ryan Smith",William Graham,6500090.0,3000000.0,Seed,2017-03-21,,,,,
EPHEMERAL SOLUTIONS INC,Other Technology,ephemeralsolutions.com,NEW YORK,NY,10027,(718) 640-8803,2015.0,10.0,"Brennal Pierre, Jeffrey Liu, Joshua Sakhai, Seung Shin","Alex Iskold, Benjamin Sun, Brennal Pierre",10145953.0,6653981.0,Series A,2017-11-21,,,,,
EPHESOFT INC,Other Technology,ephesoft.com,LAGUNA HILLS,CA,92653,(949) 335-5335,,,"Donald Field, Ilker Kavas","Joe Kaiser, Montgomery Kersten",18750000.0,18750000.0,Series B,2017-06-22,,,,,
EPHESUS LIGHTING INC,Other Technology,ephesuslighting.com,SYRACUSE,NY,13202,(315) 579-2768,2012.0,13.0,"Andrew Sussman, Casper Amy, Joseph Casper, Michael Lorenz",Christopher Nolan,4200000.0,1200000.0,Pre-Seed,2013-10-16,,,,,
EPHOS INC,Other Technology,ephos.com,SAN FRANCISCO,CA,94105,(415) 758-8976,2022.0,3.0,Andrea Rocchetto,,4000000.0,4000000.0,Seed,2023-04-28,,,,,
EPHOX CORP,Other Technology,ephox.com,PALO ALTO,CA,94303,(650) 292-9659,,,Andrew Roberts,"Gary Kovacs, Jeff Tannenbaum, John Hummelstad, Misha Logvinov",3999999.0,3999999.0,Seed,2018-04-11,,,,,
EPI-NOW LLC,Other Health Care,epi-now.com,BEVERLY HILLS,CA,90210,(310) 869-2204,2017.0,8.0,"David Dworaczyk, Michelle Lobel, Steven Hartman",Rick Schaden,15000000.0,15000000.0,Series A,2018-07-16,,,,,
EPIBIOLOGICS INC,Biotechnology,epibiologics.com,SAN MATEO,CA,94403,(650) 452-3510,2021.0,4.0,"Ann Lee-Karlon, Craig Lichtenstein, Mitchell Mutz, Rami Hannoush","Alexandra Cantley, James Wells, Jason Coloma, Michael Kavanaugh, Samuel Bjork, Seiji Miyahara",123100000.0,50050000.0,Series B,2022-03-21,,,,,
EPIBIOME INC,Biotechnology,,SOUTH SAN FRANCISCO,CA,94080,(510) 386-6616,2013.0,12.0,"Aaron Tynes Hammack, Nicholas Conley",Ping-Chuan Tynes Tsai,6142130.0,6142130.0,Series A,2015-10-01,,,,,
EPIBONE INC,Other,epibone.com,BROOKLYN,NY,11226,(212) 653-8828,,,"Nina Tandon, Sarindr Bhumiratana","David Zhu, Elma Hawkins, Gordana Vunjak-Novakovic, Robert Langer",68361934.0,36762017.0,Series B,2022-12-12,2.0,0.0,100.0,86000.0,['Quality Assurance Specialist (Mechanical)']
EPIC BATTERY INC,Other Energy,epicbattery.com,FREMONT,CA,94539,(408) 483-6226,2018.0,7.0,"Brett Gaines, Melvin James Bullen",,1000000.0,1000000.0,Pre-Seed,2019-02-20,,,,,
EPIC WESTERN COCKTAIL CO LLC,Other,,SAN ANTONIO,TX,78209,(210) 259-3885,2019.0,6.0,"Adam Thomas Love, David L Schnadig, Royce Glenn Itschner, William D Sutherland",,10000000.0,10000000.0,Seed,2021-11-08,,,,,
EPIC! CREATIONS INC,Other Technology,epic-creations.com,REDWOOD CITY,CA,94063,(650) 430-1658,2012.0,13.0,"Bernard Murphy, Jim Scheinman, Les Wright, Suren Markosian","Dan Abrams, Duen-Chian Cheng, Eric Hsia, Jay Eum, Kevin Donahue, SaeMin Ahn, Salim Mitha",60999896.0,14999940.0,Series A,2020-06-04,,,,,
EPICA INTERNATIONAL INC,Other Health Care,epicainternational.com,SAN CLEMENTE,CA,92673,(949) 238-6323,2013.0,12.0,"Damiano Fortuna, Damiano R. Fortuna, Eric Lindquist, Frank R. D'Amelio, Gregory Stoutenburgh, Jerry A. Sherlock, Jerry Sherlock, Michael Fajardo, Phil Warth, Renzo R. Valleggi, Renzo Valleggi","Damiano Fortuna, GREGORY R STOUTENBURGH, Gregory A. Stoutenburgh, Gregory R. Stoutenburgh, Jose A. Soto III, Jose R. Soto III, Phil Warth, Philip Warth, Renzo Valleggi, THOMAS R GROSSMAN, Thomas Grossman, Thomas R. Grossman",29549000.0,3000000.0,Seed,2020-12-21,,,,,
