onet_soc_code,bls_soc_code,title,description,job_zone,alternate_title_count,alternate_titles_sample,oews_year,employment,annual_mean_wage,annual_median_wage,hourly_mean_wage,hourly_median_wage,employment_prse,ability_originality_lv,ability_problem_sensitivity_lv,ability_deductive_reasoning_lv,ability_inductive_reasoning_lv,ability_selective_attention_lv,ability_oral_comprehension_lv,skill_programming_lv,skill_critical_thinking_lv,skill_judgment_decision_making_lv,skill_complex_problem_solving_lv,skill_systems_analysis_lv,skill_systems_evaluation_lv,skill_social_perceptiveness_lv,skill_active_listening_lv,skill_persuasion_lv,skill_instructing_lv,skill_service_orientation_lv,cognitive_pivot_score
15-1299.04,15-1299,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,4,45,Application Security Assessor; Application Security Hacker; Application Security Tester; Certified Hacker; Certified Tester; Consulting Advisory Tester; Cyber Analyst; Cyber Assessment Tester,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,,,,,,,,,,,,,,,,,,
15-1299.05,15-1299,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",4,48,AI Security Specialist (Artificial Intelligence Security Specialist); Application Security Administrator (Application Security Admin); Application Security Engineer; Automotive Security Engineer; BISO (Business Information Security Officer); Cloud Engineer; Cloud Security Architect; Cloud Security Engineer,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,3.38,3.75,4.12,4.0,3.25,4.25,3.38,4.12,3.5,3.75,3.62,3.75,3.25,4.12,3.25,3.5,2.88,3.777
15-1299.06,15-1299,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",4,35,Cyber Analyst; Cyber Defense Analyst; Cyber Digital Forensics; Cyber Digital Media Analyst; Cyber Forensics Analyst; Cyber Intelligence Analyst; Cyber Threat Analyst; Cyber Threat Hunter,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,,,,,,,,,,,,,,,,,,
15-1299.07,15-1299,Blockchain Engineers,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",4,19,Algorithm Engineer; Automation Engineer; Blockchain Analyst; Blockchain Architect; Blockchain Developer; Blockchain Engineer; Blockchain Penetration Tester; Blockchain Software Developer,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,,,,,,,,,,,,,,,,,,
15-1299.08,15-1299,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",3,35,Application Systems Architect; Cloud Architect; Cloud Engineer; Cloud Infrastructure Engineer; Cloud Platform Engineer; Cloud Software Engineer; Cloud Solution Architect; Computer Systems Architect,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,3.88,4.12,4.12,4.0,3.0,4.5,4.25,4.0,4.0,4.0,4.0,4.12,3.0,4.0,3.0,3.12,3.0,4.027
15-1299.09,15-1299,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",4,39,Application Development Director; Application Manager; Cloud Product Director; Computer Project Manager; Cyber IT Knowledge Manager; Cybersecurity Project Manager; Cybersecurity Scrum Master; Data Center Product Director,2024,439380.0,116700.0,108970.0,56.11,52.39,1.0,3.25,4.0,4.0,4.0,2.88,4.12,1.62,4.25,3.75,4.0,3.75,3.75,3.88,4.0,3.62,3.25,3.12,3.861
15-2011.00,15-2011,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",4,21,Actuarial Analyst; Actuarial Associate; Actuarial Consultant; Actuarial Intern; Actuarial Mathematician; Actuarial Specialist; Actuary; Annuity Analyst,2024,28340.0,134990.0,125770.0,64.9,60.47,3.6,3.5,4.12,4.88,4.62,3.38,4.75,2.5,4.75,4.62,4.62,4.62,4.62,3.0,4.12,3.62,3.38,3.0,4.483
15-2021.00,15-2021,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",5,17,Agent-Based Modeler; Algebraist; Applied Mathematician; Cipher Expert; Computational Mathematician; Computational Scientist; Cryptanalyst; Cryptographer,2024,2220.0,122520.0,121680.0,58.91,58.5,2.8,4.75,3.88,5.0,4.88,3.0,5.12,2.75,5.0,4.0,4.88,3.75,3.62,3.0,4.0,2.88,3.88,1.75,4.418
15-2031.00,15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",5,41,Advanced Analytics Associate; Analytical Strategist; Analytics Consultant; Business Analyst; Business Operations Analyst; Business Process Analyst; Continuous Improvement Specialist; Decision Analyst,2024,107760.0,99120.0,91290.0,47.66,43.89,1.5,4.0,4.12,4.5,4.62,3.0,4.75,2.75,4.12,4.38,4.5,3.88,4.25,2.88,4.0,3.12,3.0,2.88,4.263
15-2041.00,15-2041,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",5,39,Analytical Statistician; Applied Scientist; Applied Statistician; Biometrician; Clinical Analyst; Data Analyst; Data Analyst Specialist; Data Analytics Specialist,2024,29800.0,112330.0,103300.0,54.01,49.66,3.2,3.62,3.5,4.88,4.88,3.0,4.88,3.12,4.5,3.88,4.12,3.12,3.12,3.0,4.0,2.62,3.12,2.12,3.958
15-2041.01,15-2041,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,5,12,Bioinformatics Scientist; Biomathematician; Biometrician; Biostatistical Consultant; Biostatistician; Clinical Biostatistician; NGS Biostatistician (Next-Generation Sequencing); Postdoctoral Fellow,2024,29800.0,112330.0,103300.0,54.01,49.66,3.2,3.88,4.0,4.88,5.0,2.88,5.12,4.0,4.88,4.38,4.5,3.88,3.75,2.88,4.25,2.88,4.0,2.75,4.35
15-2051.00,15-2051,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",4,33,Analytics Consultant; Applied Scientist; Data Analyst; Data Analytic Scientist; Data Analytics Manager; Data Analytics Scientist; Data Analytics Specialist; Data Architect,2024,233440.0,124590.0,112590.0,59.9,54.13,1.7,,,,,,,,,,,,,,,,,,
15-2051.01,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,4,27,Analytical Data Miner; Business Analyst; Business Consultant; Business Data Analyst; Business Database Analyst; Business Information Analyst; Business Intelligence Analyst (BI Analyst); Business Intelligence Consultant (BI Consultant),2024,233440.0,124590.0,112590.0,59.9,54.13,1.7,3.25,3.5,4.5,4.38,3.0,4.75,2.5,4.25,4.0,3.75,3.75,3.75,2.88,4.0,3.0,3.0,2.88,3.903
15-2051.02,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",4,20,Abstractor; Analyst; Application Analyst; Application Coordinator; Clinical Applications Director; Clinical Biostatistics Director; Clinical Data Abstractor; Clinical Data Analyst,2024,233440.0,124590.0,112590.0,59.9,54.13,1.7,3.38,3.88,4.25,3.88,3.0,4.25,3.62,4.25,3.62,3.62,3.38,3.38,3.5,3.88,2.62,3.75,2.62,3.738
15-2099.00,15-2099,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,,12,Balance Engineer; Cryptanalyst; Cryptologist; Geometer; Geometrician; Harmonic Analyst; Mathematical Engineering Technician; Mathematical Scientist,2024,4660.0,84700.0,71490.0,40.72,34.37,6.5,,,,,,,,,,,,,,,,,,
15-2099.01,15-2099,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",4,15,Bioinformatics Analyst; Bioinformatics Research Technician; Bioinformatics Specialist; Bioinformatics Technician; Biometrics Technician; Biotechnician; Data Analyst; Data Technician,2024,4660.0,84700.0,71490.0,40.72,34.37,6.5,3.25,3.88,3.75,3.88,3.25,4.38,3.0,3.75,3.5,3.38,3.5,3.5,3.0,3.62,2.88,3.25,2.88,3.599
17-1011.00,17-1011,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",5,33,Architect; Building Architect; Building Consultant; Building Information Modeling Specialist (BIM Specialist); Commercial Green Building Architect; Commercial Green Building Designer; Commercial Green Retrofit Architect; Design Architect,2024,111140.0,103390.0,96690.0,49.71,46.49,1.9,4.25,4.62,5.0,4.12,3.12,4.88,1.25,4.5,4.5,4.25,3.62,3.75,3.25,4.25,3.5,2.88,3.38,4.29
17-1012.00,17-1012,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",4,23,AP BD+C (Accredited Professional in Building Design and Construction); Environmental Designer; Environmental Planner; Exterior Designer; Golf Course Architect; Golf Course Designer; Indoor Landscape Architect; Land Planner,2024,19580.0,88000.0,79660.0,42.31,38.3,11.3,4.0,4.0,4.0,3.75,3.0,4.38,0.5,3.88,3.75,4.0,3.38,3.88,3.62,4.12,3.5,3.0,3.38,3.849
17-1021.00,17-1021,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",4,24,Aerial Photogrammetrist; Cadastral Mapper; Cartographer; Cartographic Designer; Cartographic Drafter; Cartography Technician; Data Mapper; Digital Cartographer,2024,12790.0,82860.0,78380.0,39.84,37.68,4.0,3.0,3.38,3.88,4.0,2.88,4.12,1.12,3.75,3.12,3.12,2.88,2.75,2.88,3.5,2.12,3.0,2.75,3.32
17-1022.00,17-1022,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",4,31,City Surveyor; Construction Surveyor; County Surveyor; Field Inspector; Field Surveyor; Geophysical Prospecting Surveyor; Health Facilities Surveyor; Home Surveyor,2024,53080.0,76730.0,72740.0,36.89,34.97,2.7,3.0,3.38,4.12,4.12,3.0,4.12,0.75,4.0,3.12,3.25,3.0,2.88,3.0,3.88,2.75,3.5,2.88,3.43
17-1022.01,17-1022,Geodetic Surveyors,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",4,29,Aerial Photograph Interpreter; Aerotriangulation Specialist; Field Surveyor; Geodesist; Geodetic Advisor; Geodetic Computator; Geodetic Coordinator; Geodetic Engineer,2024,53080.0,76730.0,72740.0,36.89,34.97,2.7,2.88,4.0,4.12,4.12,3.0,4.88,2.5,4.12,3.75,3.88,3.25,3.25,2.88,4.0,2.12,3.0,2.5,3.708
17-2011.00,17-2011,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",4,77,Aerodynamicist; Aerodynamics Engineer; Aeronautical Design Engineer; Aeronautical Engineer; Aeronautical Project Engineer; Aeronautical Research Engineer; Aeronautical Test Engineer; Aerospace Design Engineer,2024,68440.0,141180.0,134830.0,67.88,64.82,2.3,4.12,4.12,4.75,4.25,3.12,4.88,,4.62,3.88,4.25,4.0,3.88,3.12,4.12,3.12,3.25,2.75,4.208
17-2021.00,17-2021,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",4,24,Agricultural Engineer; Agricultural Equipment Design Engineer; Agricultural Equipment Test Engineer; Agricultural Production Engineer; Agricultural Research Engineer; Agricultural Systems Specialist; Agriculture Consultant; Agriculture Engineer,2024,1680.0,84240.0,84630.0,40.5,40.69,33.6,3.62,4.25,4.5,4.38,3.0,4.25,1.88,4.0,4.0,4.12,4.0,4.0,3.12,4.12,2.88,3.0,3.0,4.097
17-2031.00,17-2031,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",4,44,Analytical Biochemical Engineer; Biochemical Development Engineer; Biochemical Engineer; Biochemistry Chemical Engineering Analyst; Bioengineer; Bioinformatics Engineer; Biomaterials Engineer; Biomechanical Engineer,2024,21860.0,115020.0,106950.0,55.3,51.42,4.0,4.38,4.75,4.75,4.75,3.12,4.88,3.38,4.62,4.62,4.5,3.88,4.0,3.25,4.12,3.12,4.0,3.0,4.472
17-2041.00,17-2041,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",4,33,Absorption and Adsorption Engineer; Blending Coordinator; Chemical Design Process Engineer; Chemical Engineer; Chemical Process Engineer; Chemical Research Engineer; Chemical Test Engineer; Control Systems Engineer,2024,20330.0,128430.0,121860.0,61.75,58.59,3.7,4.0,4.62,5.0,4.88,3.25,5.0,2.75,5.0,4.62,4.38,4.12,4.12,3.25,4.0,3.0,3.0,3.0,4.527
17-2051.00,17-2051,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",4,75,Airport Engineer; Architectural Engineer; Asphalt Engineer; Base Engineer; Bridge Design Engineer; Bridge Engineer; Building Construction Engineer; Building Engineer,2024,355410.0,107050.0,99590.0,51.47,47.88,1.1,4.0,4.75,4.88,4.0,3.12,5.0,1.88,4.62,4.0,4.12,4.12,4.0,3.5,4.0,3.25,3.0,3.0,4.277
17-2051.01,17-2051,Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",4,22,Airport Engineer; Civil Transportation Engineer; Engineer; Highway Civil Engineer; Highway Engineer; Highway Project Engineer; Project Engineer; Rail Engineer,2024,355410.0,107050.0,99590.0,51.47,47.88,1.1,3.75,4.62,4.75,4.38,3.0,4.75,2.12,4.0,4.25,4.38,3.75,3.88,3.0,4.0,3.62,3.0,3.0,4.196
17-2051.02,17-2051,Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",4,23,Consulting Engineer; County Engineer; Dimensional Engineer; Engineer; Hydraulics Engineer; Hydrologic Modeler; Project Development Engineer; Remediation Engineer,2024,355410.0,107050.0,99590.0,51.47,47.88,1.1,3.88,4.38,4.88,4.12,3.12,4.88,2.5,4.12,4.12,4.75,4.12,4.12,3.0,4.0,3.12,3.62,2.88,4.277
17-2061.00,17-2061,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",4,36,Analog Design Engineer; Analog IC Design Engineer (Analog Integrated Circuit Design Engineer); Application Specific Integrated Circuit Design Engineer (ASIC Design Engineer); Application Specific Integrated Circuit Design Verification Engineer (ASIC Design Verification Engineer); Computer Designer; Computer Engineer; Computer Hardware Designer; Computer Hardware Developer,2024,75710.0,156770.0,155020.0,75.37,74.53,2.8,4.0,4.0,4.25,4.12,3.0,4.75,2.75,4.12,3.88,4.12,3.5,4.0,2.75,3.88,2.75,3.5,2.75,3.999
17-2071.00,17-2071,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",4,68,Automation Engineer; Cable Engineer; Circuits Engineer; Controls Engineer; Design Engineer; Design Verification Engineer; Distribution Engineer; Distribution Field Engineer,2024,188790.0,120980.0,111910.0,58.16,53.8,1.4,3.5,4.38,4.25,4.12,3.12,4.5,1.38,4.12,3.38,4.0,3.38,3.62,3.0,4.12,3.0,3.0,2.75,3.861
17-2072.00,17-2072,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",4,49,Antenna Engineer; Audio Visual Engineer (AV Engineer); Audio Visual Manager; Automation Engineer; Central Office Equipment Engineer; Central Office Facilities Planning Engineer; Circuit Design Engineer; Circuit Designer,2024,93940.0,132500.0,127590.0,63.7,61.34,1.7,4.0,4.12,4.25,4.25,3.0,4.38,2.88,4.12,3.88,4.12,3.88,4.0,3.0,4.0,3.0,3.25,2.88,4.069
17-2072.01,17-2072,Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,4,27,Antenna Engineer; Cardiac Device Specialist; Deployment Engineer; Device Test Engineer; DSP Engineer (Digital Signal Processing Engineer); Electrical Engineer; Electro Magnetic Compatibility Test Engineer; Engineer,2024,93940.0,132500.0,127590.0,63.7,61.34,1.7,3.12,3.5,4.25,3.75,2.88,4.12,,3.88,3.38,3.62,3.5,3.5,3.12,3.62,3.38,3.5,2.88,3.611
17-2081.00,17-2081,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",4,42,Air Pollution Control Engineer; Air Quality Engineer; Civil Engineer; Coastal Engineer; Engineer; Engineering Consultant; Environmental Analyst; Environmental Compliance Engineer,2024,37950.0,110570.0,104170.0,53.16,50.08,3.2,4.0,4.25,4.12,4.5,3.0,4.88,0.88,4.0,4.12,4.12,3.88,4.12,3.0,3.88,3.25,3.0,2.88,4.123
17-2111.00,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",4,54,Chemical Detection Expert; EHS Intern (Environmental Health and Safety Intern); Engineer; Environmental Health and Safety Coordinator (EHS Coordinator); Environmental Health and Safety Engineer (EHS Engineer); Environmental Health and Safety Manager; Environmental Health and Safety Specialist (EHS Specialist); Extra Vehicular Activity Safety Engineer (EVA Engineer),2024,23220.0,113770.0,109660.0,54.7,52.72,3.5,3.25,3.75,3.75,3.75,3.38,4.25,1.38,3.88,3.62,3.75,3.38,3.5,3.5,4.0,3.5,3.62,3.12,3.626
17-2111.02,17-2111,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",4,15,Consulting Engineer; Engineer; Fire Alarm Systems Technician (Fire Alarm Systems Tech); Fire Prevention Research Engineer; Fire Protection Commissioning Engineer; Fire Protection Consultant; Fire Protection Design Engineer; Fire Protection Designer,2024,23220.0,113770.0,109660.0,54.7,52.72,3.5,3.75,4.38,4.62,4.25,2.88,4.25,0.88,4.25,4.12,4.0,4.0,4.12,3.0,4.0,3.5,3.25,3.0,4.166
17-2112.00,17-2112,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",4,46,Continuous Improvement Engineer; District Plant Engineer; Documentation Engineer; Efficiency Analyst; Efficiency Engineer; Efficiency Expert; Engineer; Engineering Inspector,2024,350230.0,107900.0,101140.0,51.87,48.63,0.6,3.5,4.0,4.12,4.25,3.0,4.25,1.12,4.12,4.0,4.12,3.75,3.88,3.0,4.12,2.62,3.0,2.75,3.971
17-2112.01,17-2112,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",5,23,Board Certified Ergonomist; Certified Professional Ergonomist; Cognitive Engineer; Engineer; Engineering Psychologist; Ergonomic Consultant; Ergonomic Specialist; Ergonomics Consultant,2024,350230.0,107900.0,101140.0,51.87,48.63,0.6,3.88,4.12,4.75,4.5,2.88,4.88,2.38,4.38,4.38,4.0,3.88,4.0,3.5,4.38,3.0,3.75,3.0,4.21
17-2112.02,17-2112,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",4,27,Cloud Site Reliability Engineer; Corporate Quality Engineer; Electrical Reliability Engineer; Engineer; Equipment Engineer; Equipment Validation Engineer; Equipment Validation Specialist; Failure Analyst,2024,350230.0,107900.0,101140.0,51.87,48.63,0.6,3.12,4.12,4.38,4.12,3.0,4.38,1.0,4.12,3.62,4.0,3.62,3.38,3.0,4.0,2.88,3.12,2.88,3.831
17-2112.03,17-2112,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",4,24,Advance Manufacturing Engineer; Automation Engineer; Design Engineer; Engineer; Facility Engineer; Foundry Process Engineer; Lean Manufacturing Engineer; Manufacturing Applications Engineer,2024,350230.0,107900.0,101140.0,51.87,48.63,0.6,4.12,4.38,4.88,4.38,3.75,4.88,2.5,4.0,4.62,4.25,4.62,4.5,3.5,4.12,3.62,3.75,2.88,4.417
17-2121.00,17-2121,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",4,31,Architect Specialist; Automation Engineer; Boat Designer; Consulting Marine Engineer; Engineer; Engineering Specialist; Marine Architect; Marine Civil Engineer,2024,8440.0,116680.0,105670.0,56.1,50.8,5.2,3.88,4.62,5.25,4.38,3.12,4.5,1.62,4.38,4.0,4.38,3.62,3.88,3.25,3.88,3.0,3.25,2.62,4.266
17-2131.00,17-2131,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",4,38,Automotive Sheet Metal Engineer; Ceramic Design Engineer; Ceramic Engineer; Ceramic Research Engineer; Ceramics Test Engineer; Corrosion Engineer; Design Engineer; Engineer,2024,22770.0,116380.0,108310.0,55.95,52.07,2.4,4.0,4.25,4.75,4.25,3.0,4.75,1.75,4.25,3.88,4.0,3.75,3.5,3.12,4.12,3.12,3.88,3.0,4.07
17-2141.00,17-2141,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",4,79,Air Conditioning Engineer (AC Engineer); Application Engineer; Automation Engineer; Body Engineer; Brake Engineer; Car Designer; Combustion Engineer; Cooling and Heating Systems Design Engineer,2024,286760.0,110080.0,102320.0,52.92,49.19,1.0,4.0,4.12,4.75,4.25,3.25,4.75,2.25,4.12,4.12,4.5,3.88,3.88,3.0,4.0,3.12,3.5,2.88,4.18
17-2141.01,17-2141,Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",4,10,Design Cell Engineer; Engineer; Fuel Cell Designer; Fuel Cell Engineer; Fuel Cell Systems Engineer; Fuel Cell Test Engineer; Research Engineer; Space Battery Technician,2024,286760.0,110080.0,102320.0,52.92,49.19,1.0,4.0,4.25,4.12,4.12,3.25,4.88,2.38,4.25,4.0,3.88,4.12,4.12,3.0,4.12,2.88,3.12,2.62,4.096
17-2141.02,17-2141,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",4,29,Automotive Designer; Automotive Engineer; Automotive Power Electronics Engineer; Automotive Project Engineer; Automotive Quality Engineer; Automotive Systems Engineer; Chassis Engineer; Customer Quality Engineer,2024,286760.0,110080.0,102320.0,52.92,49.19,1.0,4.62,4.25,4.88,4.62,3.0,4.75,2.88,4.75,4.25,4.25,3.88,4.12,3.0,4.0,3.25,3.62,2.75,4.402
17-2151.00,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",4,36,Coal Mine Inspector; Engineer; Exploration Engineer; Field Engineer; Geological Engineer; Geophysical Engineer; Geotechnical Engineer; Geotechnical Project Engineer,2024,6770.0,108940.0,101020.0,52.37,48.57,7.0,3.88,4.5,4.88,4.62,3.5,5.0,3.0,4.5,4.62,4.38,4.0,4.25,3.25,4.0,3.38,3.5,2.62,4.403
17-2161.00,17-2161,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",4,45,Atomic Process Engineer; Core Measures Abstractor; Engineer; Engineering Officer; Instrumentation and Controls Engineer; Nuclear Criticality Safety Engineer; Nuclear Design Engineer; Nuclear Electrician,2024,14740.0,134980.0,127520.0,64.89,61.31,3.7,3.88,4.75,4.38,4.25,3.12,5.0,1.12,4.88,4.12,4.25,4.0,4.0,3.0,4.25,3.0,3.25,3.0,4.279
17-2171.00,17-2171,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,4,35,Certification Engineer; Completion Engineer; Completions Engineer; Design Engineer; Drilling Engineer; Engineer; Exploration Engineer; Gas Distribution Engineer,2024,18970.0,153560.0,141280.0,73.83,67.92,5.8,3.88,4.0,4.0,4.0,3.0,4.12,1.12,4.38,3.88,4.12,3.88,3.88,3.62,4.0,3.12,3.0,3.0,4.002
17-2199.00,17-2199,"Engineers, All Other",All engineers not listed separately.,,33,Application Engineer; Bioengineer; Biomedical Engineer; Coastal Engineer; Commercial Engineer; Consulting Engineer; Corrosion Control Engineer; Design Engineer,2024,150750.0,121720.0,117750.0,58.52,56.61,1.2,,,,,,,,,,,,,,,,,,
